nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,528.5,914.5,52.9,91.5,10.15,0,0,0,12.4,12.4,3.4,2.8,0,3.59491048,59.9,47.0,64.7,69.3,60.0,1,100.0,10.2
2,1095.5,910.5,109.6,91.1,9.99,0,0,0,12.4,12.4,3.6,2.6,0,3.56646366,46.9,36.0,50.8,56.4,47.0,1,100.0,10.0
3,1252.5,851.5,125.2,85.2,8.91,0,0,0,11.6,11.6,3.2,2.6,0,3.36816929,40.7,30.8,44.2,49.1,40.8,1,98.9,8.9
4,1149.5,811.5,115.0,81.2,8.37,0,0,0,11.2,11.2,3.0,2.6,0,3.26450838,46.0,35.3,50.0,54.2,46.1,1,99.9,8.4
5,1176.5,781.5,117.7,78.2,12.25,0,0,0,13.6,13.6,3.4,3.4,0,3.94932708,50.6,38.2,55.0,61.0,50.7,1,99.8,12.3
6,355.5,771.5,35.6,77.2,11.55,0,0,0,13.2,13.2,3.4,3.2,0,3.83482943,60.8,47.0,66.1,70.5,60.9,1,100.0,11.6
7,640.5,726.5,64.0,72.7,12.71,0,0,0,14.0,14.0,4.0,3.0,0,4.02279438,63.1,48.9,68.3,73.5,63.1,1,100.0,12.7
8,646.5,571.5,64.7,57.2,10.53,0,0,0,12.8,12.8,3.8,2.6,0,3.66158605,61.0,47.1,66.0,71.7,61.0,1,100.0,10.5
9,823.5,542.5,82.4,54.2,9.57,0,0,0,12.0,12.0,3.2,2.8,0,3.49068796,53.7,41.8,58.1,62.5,53.7,1,100.0,9.6
10,974.5,432.5,97.5,43.2,12.25,0,0,0,13.6,13.6,3.4,3.4,0,3.94932708,52.7,40.3,57.2,62.6,52.8,1,100.0,12.3
11,303.5,334.5,30.4,33.5,13.53,0,0,0,14.4,14.4,4.0,3.2,0,4.15053383,69.8,53.8,75.4,83.1,69.8,1,100.0,13.5
12,188.5,327.5,18.9,32.8,7.29,0,0,0,10.4,10.4,2.6,2.6,0,3.04662375,49.0,38.9,53.1,54.7,49.1,1,100.0,7.3
13,276.5,325.5,27.7,32.6,9.57,0,0,0,12.0,12.0,3.2,2.8,0,3.49068796,58.7,44.7,64.0,68.5,58.8,1,100.0,9.6
14,640.5,266.5,64.0,26.7,7.29,0,0,0,10.4,10.4,2.6,2.6,0,3.04662375,50.6,40.3,55.0,56.1,50.7,1,100.0,7.3
15,779.5,123.5,78.0,12.4,8.99,0,0,0,11.6,11.6,3.0,2.8,0,3.38325635,54.8,42.3,59.2,65.2,54.9,1,100.0,9.0
