nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,788.5,812.5,78.9,81.2,10.23,0.0,0.0,0.0,12.4,12.4,3.2,3.0,0.0,3.60904981,66.1,51.8,71.7,75.6,66.2,1,100.0,10.2
2,235.5,767.5,23.6,76.8,7.29,0.0,0.0,0.0,10.4,10.4,2.6,2.6,0.0,3.04662375,58.4,47.4,63.1,63.7,58.5,1,100.0,7.3
3,754.5,727.5,75.5,72.8,7.83,0.0,0.0,0.0,10.8,10.8,2.8,2.6,0.0,3.15744606,61.8,49.2,67.0,68.1,61.8,1,100.0,7.8
4,519.5,502.5,52.0,50.2,10.89,0.0,0.0,0.0,12.8,12.8,3.2,3.2,0.0,3.72365125,70.1,56.9,75.3,78.4,70.1,1,100.0,10.9
5,1213.5,411.5,121.4,41.2,8.36,12.66153717,3.0,179.99,11.28284271,54.00713601,3.0,2.6,12.7,3.26255768,52.4,40.1,57.0,61.7,52.5,1,99.5,8.4
6,574.5,409.5,57.5,41.0,5.29,0.0,0.0,0.0,8.8,8.8,2.2,2.2,0.0,2.59527208,57.3,48.6,61.6,58.2,57.3,1,100.0,5.3
7,658.5,398.5,65.9,39.9,15.75,0.0,0.0,0.0,15.6,15.6,4.4,3.4,0.0,4.47811599,72.5,57.7,78.1,82.8,72.5,1,100.0,15.8
8,1083.5,323.5,108.4,32.4,13.65,0.0,0.0,0.0,14.4,14.4,3.8,3.4,0.0,4.16889911,64.7,49.7,70.1,76.4,64.7,1,100.0,13.7
9,1255.5,217.5,125.6,21.8,5.51,2.82858086,3.2,152.68,10.68700572,18.95732189,2.4,2.2,2.8,2.64868833,45.5,35.8,49.2,52.0,45.5,1,91.7,5.8
10,643.5,206.5,64.4,20.7,10.23,0.0,0.0,0.0,12.4,12.4,3.2,3.0,0.0,3.60904981,67.3,53.9,72.4,76.4,67.3,1,100.0,10.2
11,1182.5,180.5,118.2,18.1,11.17,4.50184593,2.8,89.27,13.80416301,23.25202633,3.8,2.8,4.5,3.77121807,49.8,38.8,54.0,58.0,49.9,2,97.2,11.3
12,938.5,174.5,93.9,17.4,11.55,0.0,0.0,0.0,13.2,13.2,3.4,3.2,0.0,3.83482943,58.7,46.5,63.5,66.9,58.8,1,100.0,11.6
13,577.5,167.5,57.8,16.8,5.29,0.0,0.0,0.0,8.8,8.8,2.2,2.2,0.0,2.59527208,54.4,45.5,58.5,57.0,54.5,1,99.8,5.3
14,922.5,146.5,92.2,14.7,12.21,0.0,0.0,0.0,13.6,13.6,3.6,3.2,0.0,3.94287393,63.7,49.3,68.9,74.8,63.8,1,100.0,12.2
15,1040.5,121.5,104.1,12.2,19.61,0.0,0.0,0.0,17.6,17.6,5.2,3.6,0.0,4.99682174,63.2,48.1,68.4,75.7,63.2,1,99.9,19.6
16,917.5,73.5,91.8,7.4,5.75,0.0,0.0,0.0,9.2,9.2,2.4,2.2,0.0,2.70575819,47.5,38.3,51.5,51.6,47.5,1,99.7,5.8
