nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,182.5,918.5,18.2,91.9,0.09,0.42426405,0.1,135.0,0.90710677,1.80873735,0.4,0.1,0.4,0.33851375,104.4,80.2,109.6,142.2,104.5,1,1.0,6.8
2,509.5,841.5,51.0,84.2,4.86,0.0,0.0,0.0,28.85512965,28.85512965,9.8,2.5,0.0,2.48755788,119.6,93.8,128.0,144.1,119.6,10,8.0,61.7
3,1084.5,848.5,108.5,84.9,0.07,0.0,0.0,0.0,0.74142135,0.74142135,0.3,0.1,0.0,0.29854107,114.9,95.4,122.0,128.9,114.8,1,1.4,4.8
4,412.5,839.5,41.2,84.0,0.23,0.60869517,0.4,103.28,1.54142135,3.20291317,0.5,0.3,0.6,0.54115164,120.9,95.6,128.0,150.7,120.9,2,3.7,6.3
5,81.5,826.5,8.2,82.7,1.56,1.88533211,1.3,52.64,7.92132031,10.09167303,1.9,1.3,1.9,1.40934513,149.3,114.5,160.5,182.8,149.3,2,11.3,13.7
6,112.5,791.5,11.2,79.2,2.14,2.23326206,1.2,1.22,8.72132031,11.03155867,2.1,1.2,2.2,1.65067641,158.3,121.3,170.9,190.8,158.4,1,14.0,15.1
7,566.5,796.5,56.7,79.7,0.57,0.9,0.8,127.91,4.23847759,5.3453285,0.9,0.8,0.9,0.85190759,150.5,116.7,162.3,178.5,150.5,1,6.2,9.0
8,196.5,792.5,19.7,79.2,0.4,0.75996175,0.6,78.2,2.33137082,4.28723597,0.7,0.6,0.8,0.71364965,165.0,130.6,177.6,189.7,164.9,1,4.7,8.4
9,20.5,788.5,2.1,78.9,0.57,1.17515926,0.7,121.83,3.75563489,5.98593725,1.2,0.7,1.2,0.85190759,146.8,115.4,157.0,176.6,146.8,3,6.5,9.0
10,566.5,738.5,56.7,73.9,1.05,1.87265358,0.8,151.88,5.37989895,8.73805555,1.7,0.7,1.9,1.15624458,144.2,111.7,155.0,173.5,144.2,1,8.8,11.6
11,239.5,735.5,24.0,73.5,0.76,1.2,0.8,34.58,3.6384776,6.34617584,1.2,0.7,1.2,0.98369815,170.4,134.7,183.9,194.3,170.4,2,7.2,10.2
12,410.5,726.5,41.1,72.7,0.59,1.02922306,0.6,5.71,2.87279218,5.20756011,0.9,0.6,1.0,0.86672448,154.4,120.1,167.0,179.4,154.4,2,6.3,9.0
13,526.5,713.5,52.7,71.4,0.11,0.40133028,0.3,147.31,1.30710677,2.21480776,0.3,0.3,0.4,0.37424103,111.8,92.5,117.5,133.5,111.8,1,1.9,5.8
14,56.5,707.5,5.7,70.8,0.05,0.0,0.0,0.0,0.56568542,0.56568542,0.1,0.1,0.0,0.25231325,101.0,84.4,105.8,118.0,100.8,1,0.7,5.8
15,577.5,704.5,57.8,70.5,0.19,0.6719604,0.3,9.1,1.76568542,3.16636493,0.5,0.3,0.7,0.49184908,131.8,108.8,140.1,149.8,131.8,1,3.0,6.3
16,83.5,697.5,8.3,69.8,1.2,1.8199976,1.0,157.7,5.29705625,9.04756418,1.7,1.0,1.8,1.23607745,140.0,109.0,150.1,169.5,140.0,1,9.6,12.2
17,101.5,650.5,10.2,65.0,0.33,0.63651943,0.6,26.21,1.90710677,3.88548751,0.6,0.5,0.6,0.64820448,137.7,109.0,147.7,162.2,137.8,1,4.6,6.8
18,307.5,603.5,30.8,60.4,0.47,0.90164852,0.6,86.96,3.04852812,4.76528013,0.9,0.5,0.9,0.77357778,155.2,122.0,166.9,181.7,155.2,2,6.0,8.4
19,869.5,588.5,87.0,58.9,0.86,1.2,0.9,40.76,3.61421354,6.63104765,1.0,1.0,1.2,1.04641579,179.2,147.3,190.6,204.6,179.2,2,8.5,10.2
20,586.5,561.5,58.7,56.2,1.02,1.48830261,0.9,131.01,5.12132031,7.61732795,1.5,0.8,1.5,1.1396071,154.2,120.6,166.0,182.2,154.3,1,8.7,11.6
21,418.5,527.5,41.9,52.8,0.55,1.0,0.7,101.13,3.80416301,5.38236898,0.8,0.8,1.0,0.83682839,156.2,122.5,168.1,182.8,156.2,2,6.5,8.4
22,780.5,520.5,78.1,52.1,2.65,4.07721176,0.9,122.6,12.92548332,17.27482272,3.9,0.9,4.1,1.8368682,146.6,113.6,157.4,178.0,146.7,2,11.5,22.8
23,50.5,513.5,5.1,51.4,1.92,2.8,1.2,8.04,8.58406197,13.07426666,2.8,1.2,2.8,1.56352804,148.2,115.9,159.1,177.4,148.2,3,11.7,16.5
24,184.5,508.5,18.4,50.9,1.19,1.8,0.9,105.38,6.09705625,8.71960339,1.7,0.9,1.8,1.23091635,164.1,127.3,177.2,193.6,164.1,6,11.6,18.1
25,884.5,511.5,88.5,51.2,1.22,1.61364193,0.8,85.16,4.18994948,7.79967408,1.6,0.7,1.6,1.24633553,173.2,136.6,186.5,199.9,173.1,2,11.1,11.5
26,733.5,491.5,73.4,49.2,0.18,0.68484526,0.3,1.34,1.56568542,3.21326769,0.5,0.3,0.7,0.47873074,128.1,105.8,136.3,143.9,128.0,1,3.1,5.8
27,794.5,478.5,79.5,47.9,0.34,0.68099957,0.6,94.77,1.98994946,4.02840242,0.6,0.6,0.7,0.65795246,152.0,119.1,163.4,179.7,152.0,1,4.9,6.8
28,1259.5,445.5,126.0,44.6,0.42,1.0,0.5,42.11,2.64852812,4.84422411,0.9,0.5,1.0,0.73127328,131.8,100.3,142.9,157.6,131.9,1,5.6,7.3
29,166.5,405.5,16.7,40.6,0.78,1.21472092,0.8,68.57,3.18994948,6.39666007,1.1,0.7,1.2,0.9965575,165.6,131.2,178.6,188.8,165.6,1,7.6,9.6
