nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,164,937,16.4,93.7,10.26,4.30116263,3.73630834,72.41,13.1245419,12.4665345,4.0,4.2,4.0,3.68917335,234.0,130.5,179.5,190.5,165.4,15,100.0,12288.0
2,329,919,32.9,91.9,0.54,0.92195445,0.56568542,40.6,2.41674115,2.3973009,0.9,0.8,0.9,0.64031242,226.0,84.2,133.0,173.2,122.1,15,100.0,12288.0
4,1166,764,116.6,76.4,1.06,1.67630546,0.82462113,72.65,4.32834656,4.14471564,1.0,1.7,0.6,0.92195445,225.7,75.8,119.7,151.5,109.4,15,100.0,12288.0
5,294,668,29.4,66.8,0.86,1.22065556,0.72111026,34.99,3.23809922,3.1675682,1.2,1.0,1.2,0.72801099,229.1,91.8,147.6,180.2,133.8,15,100.0,12288.0
6,113,604,11.3,60.4,0.98,1.22065556,0.86023253,34.99,3.337303,3.28385932,1.2,1.0,1.1,0.9,228.7,91.3,147.6,174.7,133.0,15,100.0,12288.0
7,456,585,45.6,58.5,3.3,3.14006369,1.20415946,99.16,7.49114336,7.26493249,1.3,3.2,1.3,1.2,238.3,94.4,149.8,181.4,136.0,15,100.0,12288.0
8,799,500,79.9,50.0,1.41,1.80277564,0.92195445,160.56,4.37579588,4.25612264,1.8,1.2,1.6,0.94339811,228.5,98.2,153.8,182.7,139.6,15,100.0,12288.0
9,987,407,98.7,40.7,0.84,1.23693169,0.82462113,14.04,3.47005216,3.15250985,1.3,0.8,1.2,0.7,226.5,107.0,164.0,185.1,148.5,15,100.0,12288.0
10,106,364,10.6,36.4,0.82,1.06301458,0.84852814,41.19,2.98231574,2.95666678,1.0,1.0,1.0,0.89442719,221.2,85.2,138.3,170.9,125.2,15,100.0,12288.0
11,449,256,44.9,25.6,2.29,2.52982213,1.0198039,161.57,6.22980225,5.90661875,2.5,1.4,2.1,1.21655251,236.4,99.6,154.6,184.5,140.7,15,100.0,12288.0
12,1007,237,100.7,23.7,0.82,1.36014705,0.58309519,53.97,3.15778881,3.11824249,1.0,1.2,0.9,0.58309519,225.6,94.6,151.0,174.4,136.0,15,100.0,12288.0
13,979,188,97.9,18.8,1.39,2.05182845,0.92195445,43.03,5.40630442,4.95861276,1.8,1.6,1.4,1.06301458,230.5,84.1,133.9,164.2,121.6,15,100.0,12288.0
14,789,125,78.9,12.5,1.58,2.54950976,0.7,11.31,5.54240998,5.48735997,2.6,0.8,2.6,0.7,232.4,86.5,135.9,166.2,123.7,15,100.0,12288.0
