nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
167,1232,451,123.2,45.1,1.12,1.42126704,0.86023253,140.71,3.81636745,3.71196412,1.4,1.1,1.3,0.85440037,225.7,77.6,120.4,149.8,110.2,233,100.0,12288.0
169,1053,441,105.3,44.1,1.7,1.77200451,1.21655251,106.39,4.83745794,4.66535119,1.3,1.8,1.1,1.2,228.2,84.8,133.9,154.4,120.8,233,100.0,12288.0
171,772,441,77.2,44.1,0.53,0.82462113,0.70710678,14.04,2.23100182,2.21318726,0.9,0.8,0.8,0.7,221.4,80.2,119.7,141.6,109.6,233,100.0,12288.0
172,139,414,13.9,41.4,2.1,3.1144823,0.70710678,42.4,6.89825818,6.79304599,2.4,2.4,1.1,0.70710678,226.6,82.9,118.5,129.5,108.5,233,100.0,12288.0
173,1270,419,127.0,41.9,1.48,1.61554944,1.07703296,68.2,4.35511734,4.2026194,1.2,1.6,1.0,1.11803399,228.1,82.5,128.0,157.5,117.0,233,100.0,12288.0
174,334,418,33.4,41.8,1.2,1.36014705,1.00000000,36.03,3.79084241,3.69663465,1.3,1.2,1.3,1.1,232.2,85.5,133.0,155.0,120.5,233,100.0,12288.0
175,1243,411,124.3,41.1,2.36,2.56320112,1.04403065,110.56,6.4726868,5.97256115,1.5,2.5,1.0,1.11803399,232.9,81.9,125.7,150.9,114.8,233,100.0,12288.0
176,594,417,59.4,41.7,0.2,0.50990195,0.20000000,101.31,1.15606233,1.15606233,0.4,0.5,0.4,0.3,196.8,67.0,101.1,112.7,91.6,233,100.0,12288.0
177,518,413,51.8,41.3,1.94,1.92353841,1.20415946,8.97,4.94314601,4.87053857,2.0,1.2,2.0,1.1,228.4,99.2,147.7,165.4,134.5,233,100.0,12288.0
178,714,415,71.4,41.5,0.53,0.84852814,0.70710678,45.0,2.27241379,2.26687089,0.8,0.8,0.8,0.7,217.5,75.7,118.3,140.2,107.4,233,100.0,12288.0
179,733,409,73.3,40.9,0.35,0.67082039,0.53851648,26.57,1.91869126,1.86830408,0.7,0.7,0.7,0.58309519,212.2,77.5,116.2,133.5,105.9,233,100.0,12288.0
180,483,408,48.3,40.8,0.5,0.94339811,0.44721360,32.01,2.29128157,2.26608798,0.9,0.7,0.8,0.6,217.4,65.4,100.4,113.7,90.9,233,100.0,12288.0
181,118,395,11.8,39.5,2.34,1.93132079,1.48660687,21.25,5.95019482,5.30738096,1.9,1.7,1.8,1.56204994,235.7,107.8,154.1,168.3,141.1,233,100.0,12288.0
182,1224,395,122.4,39.5,2.01,2.0880613,1.14017543,16.7,5.17396491,5.06137324,2.1,1.3,1.9,1.2,238.3,91.0,141.6,169.5,128.8,233,100.0,12288.0
183,928,367,92.8,36.7,15.61,14.707821,1.26491106,22.38,33.4507384,30.2147499,13.7,6.1,3.1,1.3,239.7,87.6,133.3,157.8,121.7,233,100.0,12288.0
184,735,389,73.5,38.9,0.92,1.60312195,0.70000000,86.42,3.94847532,3.74565564,0.9,1.7,0.9,0.8,208.9,65.9,99.2,110.9,89.9,233,100.0,12288.0
186,439,387,43.9,38.7,0.36,0.67082039,0.53851648,63.43,1.86011262,1.8244835,0.7,0.7,0.7,0.58309519,211.0,75.8,115.9,133.1,105.1,233,100.0,12288.0
187,670,383,67.0,38.3,0.97,1.2083046,0.85440037,114.44,3.48380422,3.36085936,1.1,1.2,1.0,0.98488578,222.8,81.6,125.4,144.8,113.8,233,100.0,12288.0
188,217,384,21.7,38.4,0.3,0.64031242,0.36055513,51.34,1.67054814,1.66607512,0.7,0.6,0.7,0.56568542,214.4,71.0,109.4,127.4,99.3,233,100.0,12288.0
189,382,383,38.2,38.3,0.58,0.86023253,0.72111026,54.46,2.45292609,2.39210339,0.9,0.8,0.9,0.7,225.1,86.8,129.9,150.2,118.6,233,100.0,12288.0
190,503,380,50.3,38.0,1.27,1.61245155,0.98488578,29.74,4.07793378,4.0384482,1.5,1.3,1.2,1.0,230.1,76.0,110.4,121.2,100.7,233,100.0,12288.0
191,602,379,60.2,37.9,0.1,0.36055513,******,146.31,0.83983456,0.83983456,0.4,0.3,0.4,0.2,172.3,69.5,102.8,111.9,93.2,233,100.0,12288.0
193,577,371,57.7,37.1,0.62,0.94339811,0.76157731,147.99,2.63623357,2.58584639,1.0,0.8,0.9,0.7,213.7,84.4,128.5,147.8,116.8,233,100.0,12288.0
194,599,367,59.9,36.7,0.12,0.41231056,0.20000000,104.04,0.86502815,0.74142136,0.4,0.4,0.3,0.28284271,166.3,68.1,100.2,107.8,90.8,233,100.0,12288.0
195,606,362,60.6,36.2,0.55,1.06301458,0.42426407,131.19,2.60694336,2.57934116,0.9,1.0,0.7,0.58309519,211.1,71.5,102.6,113.6,93.9,233,100.0,12288.0
196,1265,361,126.5,36.1,1.26,1.43178211,0.85440037,24.78,3.92571358,3.79945125,1.4,1.2,1.4,1.11803399,231.3,79.7,126.5,156.4,115.2,233,100.0,12288.0
197,433,358,43.3,35.8,1.58,1.61245155,1.25299641,60.26,5.17471587,4.73405401,1.6,1.6,1.6,1.36014705,222.0,73.8,110.3,126.2,100.5,233,100.0,12288.0
199,832,355,83.2,35.5,0.65,0.89442719,0.76157731,116.57,2.61232656,2.5669098,0.9,0.9,0.9,0.8,226.9,85.4,133.4,156.1,120.9,233,100.0,12288.0
200,1103,345,110.3,34.5,0.91,1.30384048,0.58309519,122.47,3.20196643,3.16633731,1.0,1.2,1.0,0.80622577,226.4,82.3,130.7,161.2,118.9,233,100.0,12288.0
201,1167,337,116.7,33.7,1.31,1.44222051,0.94339811,33.69,3.86606506,3.80423116,1.4,1.2,1.4,1.1,232.6,93.6,146.8,170.9,132.8,233,100.0,12288.0
203,727,337,72.7,33.7,0.25,0.58309519,0.31622777,30.96,1.38770543,1.38770543,0.6,0.5,0.6,0.4,206.1,69.3,102.6,114.1,93.3,233,100.0,12288.0
204,834,334,83.4,33.4,0.27,0.58309519,0.44721360,59.04,1.5803264,1.56251184,0.6,0.6,0.6,0.36055513,200.0,68.0,99.6,112.0,90.9,233,100.0,12288.0
205,69,326,6.9,32.6,0.47,0.98488578,0.53851648,23.96,2.22462771,2.19780843,1.0,0.6,0.9,0.5,223.5,88.2,130.5,154.9,119.9,233,100.0,12288.0
206,120,309,12.0,30.9,1.42,1.56524758,1.11803399,63.43,4.03494101,4.01067695,1.2,1.5,1.2,1.1,230.2,80.6,127.7,152.5,115.7,233,100.0,12288.0
207,1104,311,110.4,31.1,0.59,0.92195445,0.64031242,49.4,2.42035347,2.40253891,0.9,0.8,0.8,0.7,225.6,78.3,122.8,151.6,112.0,233,100.0,12288.0
209,540,301,54.0,30.1,0.52,0.85440037,0.63245553,20.56,2.31542194,2.29760738,0.9,0.8,0.9,0.56568542,218.1,82.0,128.1,147.4,115.9,233,100.0,12288.0
210,763,289,76.3,28.9,1.35,1.41421356,1.10000000,171.87,4.23652181,4.01491059,1.5,1.3,1.4,1.21655251,223.7,89.2,138.5,158.4,125.2,233,100.0,12288.0
212,634,287,63.4,28.7,0.11,0.36055513,0.10000000,146.31,0.83983456,0.83983456,0.4,0.3,0.4,0.2,185.2,66.6,100.5,112.5,91.2,233,100.0,12288.0
