nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
24,874,877,87.4,87.7,0.31,0.63245553,0.40000000,71.57,1.7039332,1.68611864,0.6,0.7,0.6,0.5,211.3,64.5,97.0,116.9,88.9,233,100.0,12288.0
25,599,874,59.9,87.4,0.2,0.53851648,0.31622777,158.2,1.29356648,1.29356648,0.6,0.4,0.6,0.4,196.3,66.2,98.2,110.1,89.4,233,100.0,12288.0
28,519,858,51.9,85.8,0.32,0.78102497,0.28284271,129.81,1.75803881,1.75412161,0.6,0.7,0.6,0.42426407,205.8,67.8,99.8,112.9,91.1,233,100.0,12288.0
31,436,836,43.6,83.6,0.84,1.08166538,0.86023253,146.31,3.03002401,2.96614481,1.1,1.0,1.0,0.84852814,227.0,88.3,131.5,153.5,120.3,233,100.0,12288.0
32,598,838,59.8,83.8,0.1,0.36055513,0.10000000,123.69,0.82426407,0.82426407,0.3,0.4,0.3,0.2,155.7,66.2,97.7,110.3,89.1,233,100.0,12288.0
34,298,830,29.8,83.0,0.63,1.0,0.80000000,0.0,2.82579804,2.72792969,1.1,0.9,1.1,0.76157731,220.9,85.1,133.6,158.2,121.1,233,100.0,12288.0
35,201,831,20.1,83.1,0.25,0.58309519,0.31622777,149.04,1.55952416,1.54973652,0.6,0.5,0.6,0.4,215.4,71.5,105.2,127.6,97.0,233,100.0,12288.0
36,1090,825,109.0,82.5,0.9,1.25299641,0.80622577,61.39,3.24326215,3.19893591,0.9,1.2,0.9,0.8,230.7,79.1,125.2,159.1,114.5,233,100.0,12288.0
37,582,825,58.2,82.5,0.24,0.76157731,0.30000000,23.2,1.41717328,1.41270025,0.8,0.4,0.7,0.3,201.6,68.5,98.7,110.7,90.3,233,100.0,12288.0
38,365,823,36.5,82.3,0.15,0.42426407,0.28284271,45.0,0.98125592,0.98125592,0.4,0.4,0.4,0.3,197.9,67.1,99.1,117.7,91.0,233,100.0,12288.0
39,955,814,95.5,81.4,1.05,1.26491106,1.04403065,108.43,3.52335054,3.5155879,1.1,1.3,1.1,1.0,227.8,79.2,122.8,151.5,112.3,233,100.0,12288.0
40,172,813,17.2,81.3,1.34,1.87882942,0.76157731,154.8,4.70702817,4.50391835,1.8,1.3,1.3,0.86023253,227.9,75.8,119.1,146.2,108.4,233,100.0,12288.0
41,92,812,9.2,81.2,1.1,1.27279221,0.98994949,45.0,3.44918003,3.41995213,1.2,1.1,1.2,1.0,232.7,77.3,118.8,145.3,108.7,233,100.0,12288.0
42,412,802,41.2,80.2,1.74,2.15406592,1.17046999,158.2,5.4500871,5.18158732,2.1,1.4,1.7,1.20415946,227.8,82.2,124.4,144.6,113.4,233,100.0,12288.0
43,587,804,58.7,80.4,0.39,0.85440037,0.41231056,110.56,2.6436126,2.28861631,0.8,0.9,0.6,0.5,196.7,70.9,102.1,114.0,93.5,233,100.0,12288.0
44,1161,801,116.1,80.1,0.7,1.0198039,0.70000000,168.69,2.9025483,2.83243534,1.1,0.9,1.0,0.72111026,228.6,70.5,110.1,140.2,100.9,233,100.0,12288.0
45,791,802,79.1,80.2,0.18,0.4472136,0.31622777,116.57,1.26409863,1.24628407,0.5,0.5,0.5,0.36055513,189.4,64.3,98.5,117.4,89.8,233,100.0,12288.0
48,880,790,88.0,79.0,0.9,1.14017543,0.86023253,52.13,3.14221832,3.12199515,1.0,1.1,0.9,0.9,226.2,71.2,111.3,135.0,101.3,233,100.0,12288.0
49,125,784,12.5,78.4,1.24,1.36014705,1.01980390,107.1,3.74630007,3.71271625,1.3,1.4,1.1,1.14017543,227.1,79.0,126.6,154.6,114.8,233,100.0,12288.0
51,1137,780,113.7,78.0,1.32,1.45602198,0.92195445,105.95,3.90219785,3.8581785,1.1,1.5,1.1,1.0,228.7,86.2,134.3,161.0,122.2,233,100.0,12288.0
52,609,784,60.9,78.4,0.22,0.5,0.28284271,126.87,1.23890504,1.23890504,0.5,0.5,0.5,0.4,210.3,67.1,101.4,116.5,92.2,233,100.0,12288.0
53,1078,781,107.8,78.1,0.3,0.63245553,0.50990195,18.43,1.64628407,1.63890504,0.7,0.6,0.7,0.56568542,211.6,67.0,106.5,131.8,97.0,233,100.0,12288.0
54,327,774,32.7,77.4,0.39,0.72801099,0.50000000,15.95,1.96270435,1.94248118,0.8,0.6,0.8,0.5,217.6,70.4,106.4,134.4,98.1,233,100.0,12288.0
55,597,770,59.7,77.0,0.47,1.14017543,0.42426407,142.13,2.73165909,2.64375537,1.0,0.9,0.7,0.5,206.0,68.5,100.9,111.9,91.8,233,100.0,12288.0
56,1064,768,106.4,76.8,0.3,0.60827625,0.40000000,99.46,1.6244835,1.6244835,0.6,0.7,0.6,0.56568542,218.6,62.5,97.8,124.5,89.6,233,100.0,12288.0
57,1144,764,114.4,76.4,1.59,1.67630546,1.01980390,107.35,4.57691819,4.38281815,1.2,1.7,1.0,1.11803399,231.7,85.0,136.3,165.0,123.4,233,100.0,12288.0
58,926,766,92.6,76.6,0.25,0.63245553,0.30000000,71.57,1.55909203,1.55909203,0.5,0.7,0.5,0.4,198.5,65.2,98.6,118.2,90.2,233,100.0,12288.0
59,61,764,6.1,76.4,0.15,0.42426407,0.28284271,45.0,0.98125592,0.98125592,0.4,0.4,0.4,0.3,188.0,62.9,95.9,112.8,87.3,233,100.0,12288.0
61,1117,756,111.7,75.6,0.13,0.36055513,0.14142136,146.31,0.99907048,0.99907048,0.4,0.4,0.4,0.28284271,195.9,61.5,95.7,120.8,87.7,233,100.0,12288.0
62,1244,735,124.4,73.5,2.98,5.87281874,0.56568542,42.93,12.4667147,11.9056132,4.5,4.1,1.2,0.64031242,223.4,62.9,98.7,122.1,90.0,233,100.0,12288.0
63,943,752,94.3,75.2,0.52,0.92195445,0.60000000,102.53,2.39785672,2.38004216,0.7,1.0,0.7,0.6,213.5,67.3,105.1,125.3,95.4,233,100.0,12288.0
64,422,744,42.2,74.4,2.44,2.24722051,1.26491106,69.15,5.63409301,5.55747966,1.6,2.2,1.5,1.47648231,233.2,83.5,130.0,157.5,118.4,233,100.0,12288.0
66,1084,742,108.4,74.2,2.04,2.3430749,1.14017543,129.81,5.9204997,5.67399075,1.8,2.1,1.4,1.25299641,228.7,89.0,137.0,159.1,124.4,233,100.0,12288.0
67,804,748,80.4,74.8,0.45,0.76157731,0.63245553,156.8,2.03405832,2.03405832,0.8,0.7,0.8,0.6,218.9,70.3,103.0,119.4,94.4,233,100.0,12288.0
69,54,736,5.4,73.6,0.19,0.58309519,0.31622777,30.96,1.51355629,1.39508446,0.6,0.5,0.5,0.4472136,181.4,63.7,94.2,110.1,86.2,233,100.0,12288.0
70,860,734,86.0,73.4,0.38,0.67082039,0.44721360,26.57,1.86204708,1.85466805,0.7,0.6,0.7,0.6,220.2,75.9,117.8,145.8,107.8,233,100.0,12288.0
71,357,727,35.7,72.7,2.89,2.28473193,1.61554944,113.2,6.02013924,5.86774288,1.7,2.2,1.6,1.6,232.5,98.3,144.0,162.3,131.7,233,100.0,12288.0
72,1068,735,106.8,73.5,0.19,0.5,0.22360680,143.13,1.34049183,1.31876007,0.5,0.5,0.5,0.36055513,190.5,59.7,94.1,113.2,85.4,233,100.0,12288.0
73,1032,716,103.2,71.6,2.6,2.40416306,1.23693169,73.07,6.360486,6.00089226,1.5,2.4,1.3,1.31529464,229.5,85.0,136.2,162.9,123.1,233,100.0,12288.0
74,300,720,30.0,72.0,0.38,0.70710678,0.40000000,171.87,1.98789794,1.95226882,0.8,0.6,0.8,0.5,218.1,67.7,105.8,131.1,96.6,233,100.0,12288.0
75,574,721,57.4,72.1,0.12,0.31622777,0.20000000,108.43,0.94787087,0.94787087,0.4,0.4,0.4,0.28284271,174.4,65.3,97.9,110.9,89.1,233,100.0,12288.0
76,482,711,48.2,71.1,1.91,2.01246118,1.07703296,153.43,5.69112219,5.0637705,2.0,1.4,1.9,1.17046999,230.5,93.2,144.5,168.1,131.1,233,100.0,12288.0
77,646,709,64.6,70.9,1.34,1.39283883,1.14017543,21.04,4.01269128,3.88443181,1.4,1.2,1.4,1.2,227.6,88.6,138.0,159.0,124.8,233,100.0,12288.0
78,269,711,26.9,71.1,0.49,0.82462113,0.70710678,14.04,2.20580823,2.18799367,0.9,0.8,0.8,0.64031242,221.1,76.1,115.8,138.6,105.9,233,100.0,12288.0
79,1181,681,118.1,68.1,3.82,6.51152824,1.06301458,42.51,14.2474498,13.1037991,4.9,4.4,1.5,1.13137085,221.3,70.1,108.6,131.3,99.0,233,100.0,12288.0
80,194,699,19.4,69.9,1.41,1.55241747,1.11803399,14.93,4.31726575,4.06174414,1.6,1.2,1.6,1.1,230.4,91.9,141.9,163.5,128.7,233,100.0,12288.0
81,907,703,90.7,70.3,0.11,0.36055513,0.10000000,33.69,0.73005631,0.73005631,0.4,0.3,0.4,0.2,178.5,65.5,97.6,112.9,89.2,233,100.0,12288.0
82,580,700,58.0,70.0,0.26,0.56568542,0.42426407,45.0,1.43152601,1.43152601,0.6,0.5,0.6,0.4,211.4,69.1,102.8,117.5,93.7,233,100.0,12288.0
83,1017,696,101.7,69.6,0.9,1.14017543,0.86023253,52.13,3.11948185,3.10969421,1.1,1.0,1.1,0.9,227.6,78.3,127.1,157.3,115.1,233,100.0,12288.0
84,1237,695,123.7,69.5,0.3,0.58309519,0.44721360,149.04,1.62109048,1.61717328,0.6,0.6,0.6,0.5,213.0,63.6,95.9,128.9,89.3,233,100.0,12288.0
85,810,681,81.0,68.1,2.1,1.99248588,1.33416641,107.53,5.43328701,5.19120484,1.3,2.0,1.2,1.3,232.1,90.5,140.6,165.0,127.6,233,100.0,12288.0
87,1208,682,120.8,68.2,0.6,0.86023253,0.58309519,144.46,2.61318726,2.55542105,0.9,0.9,0.9,0.85440037,222.8,76.7,122.4,153.8,111.5,233,100.0,12288.0
88,617,683,61.7,68.3,0.25,0.63245553,0.31622777,18.43,1.49010465,1.48618745,0.7,0.5,0.7,0.41231056,201.8,68.6,100.6,111.3,91.6,233,100.0,12288.0
89,270,677,27.0,67.7,0.25,0.72801099,0.30000000,164.05,1.83498784,1.75606233,0.8,0.4,0.8,0.3,180.6,62.1,95.4,109.6,86.4,233,100.0,12288.0
90,304,676,30.4,67.6,0.13,0.36055513,0.14142136,123.69,0.93005631,0.93005631,0.4,0.4,0.4,0.28284271,181.5,64.1,96.5,110.9,87.9,233,100.0,12288.0
91,410,675,41.0,67.5,0.18,0.4472136,0.31622777,153.43,1.09748369,1.09748369,0.5,0.4,0.5,0.3,204.3,67.2,101.0,119.8,92.4,233,100.0,12288.0
92,446,666,44.6,66.6,0.33,0.63245553,0.50990195,161.57,1.7512156,1.73340105,0.7,0.6,0.6,0.5,208.0,65.5,101.5,123.0,92.5,233,100.0,12288.0
94,1208,661,120.8,66.1,0.63,0.92195445,0.72111026,40.6,2.50945318,2.50704457,0.8,0.9,0.8,0.80622577,229.2,80.5,125.0,159.5,114.8,233,100.0,12288.0
95,950,649,95.0,64.9,2.15,1.99248588,1.36014705,107.53,5.50122117,5.28945704,1.4,2.0,1.3,1.3,228.6,80.5,124.3,144.7,112.8,233,100.0,12288.0
98,328,651,32.8,65.1,0.47,0.82462113,0.60000000,14.04,2.34500063,2.26619881,0.9,0.8,0.8,0.70710678,215.3,81.2,122.5,143.4,111.9,233,100.0,12288.0
99,1109,646,110.9,64.6,1.09,1.3453624,0.98994949,131.99,3.58817348,3.52567764,1.1,1.2,1.0,1.00498756,234.2,85.2,134.7,163.7,122.4,233,100.0,12288.0
100,1017,649,101.7,64.9,0.18,0.5,0.28284271,36.87,1.17733872,1.15952416,0.5,0.4,0.5,0.3,204.0,63.1,98.1,118.4,89.3,233,100.0,12288.0
101,397,647,39.7,64.7,0.14,0.36055513,0.22360680,123.69,0.91224175,0.91224175,0.4,0.4,0.4,0.3,193.3,66.0,99.6,114.1,90.6,233,100.0,12288.0
103,104,634,10.4,63.4,3.27,2.55538647,1.70000000,30.58,6.66854378,6.58350499,2.3,2.2,1.9,1.69705627,236.6,87.1,132.4,155.8,120.8,233,100.0,12288.0
104,59,622,5.9,62.2,2.93,2.5,1.43178211,163.74,7.11780916,6.50458648,2.5,1.7,2.4,1.45602198,237.1,88.9,132.6,157.2,121.6,233,100.0,12288.0
105,527,622,52.7,62.2,1.42,1.52643375,1.08166538,121.61,4.10107426,4.08120922,1.2,1.4,1.1,1.1045361,235.1,89.6,138.0,161.9,125.5,233,100.0,12288.0
106,631,622,63.1,62.2,0.51,1.0,0.72111026,36.87,2.74667377,2.66197826,0.9,0.9,0.8,0.72111026,202.4,67.8,99.3,109.6,90.4,233,100.0,12288.0
108,980,610,98.0,61.0,6.5,3.14006369,2.91547595,80.84,10.6203804,9.3025579,3.1,3.2,3.0,2.66270539,237.7,97.6,145.7,162.0,132.5,233,100.0,12288.0
109,512,622,51.2,62.2,0.3,0.58309519,0.44721360,120.96,1.63152601,1.61371145,0.6,0.6,0.6,0.5,214.0,70.0,104.1,120.7,95.1,233,100.0,12288.0
110,1067,618,106.7,61.8,0.71,0.98488578,0.63245553,66.04,2.69461344,2.65898433,1.0,1.0,0.9,0.84852814,222.2,88.7,139.4,165.2,126.3,233,100.0,12288.0
112,940,613,94.0,61.3,1.62,1.61554944,1.36014705,68.2,4.93505871,4.52611266,1.6,1.6,1.3,1.36014705,228.0,83.5,126.3,147.0,115.1,233,100.0,12288.0
114,590,613,59.0,61.3,0.84,1.2083046,0.76157731,65.56,3.06232387,3.02669475,0.9,1.2,0.9,0.9,222.7,71.0,106.3,121.8,96.9,233,100.0,12288.0
115,1014,606,101.4,60.6,1.25,1.48660687,1.01980390,70.35,4.03659721,3.91365236,1.1,1.5,1.0,1.0,225.6,82.0,127.5,151.0,115.8,233,100.0,12288.0
117,1207,607,120.7,60.7,0.35,0.64031242,0.50000000,128.66,1.74078008,1.74078008,0.6,0.7,0.6,0.5,215.9,66.7,106.5,138.1,97.4,233,100.0,12288.0
118,133,598,13.3,59.8,3.31,2.84604989,1.77200451,71.57,8.56783198,7.26174893,2.1,2.8,2.0,1.7,232.5,92.3,138.9,156.9,126.3,233,100.0,12288.0
119,347,603,34.7,60.3,0.62,0.98488578,0.72801099,156.04,2.69667786,2.48624233,1.0,0.8,1.0,0.7,222.6,92.2,132.2,142.0,120.7,233,100.0,12288.0
120,830,599,83.0,59.9,0.2,0.5,0.28284271,143.13,1.15214513,1.15214513,0.5,0.4,0.5,0.3,211.6,70.3,104.9,123.8,96.2,233,100.0,12288.0
122,1201,589,120.1,58.9,1.3,1.65529454,0.85440037,25.02,4.10011678,3.99014761,1.6,1.2,1.5,1.07703296,233.3,76.3,120.2,152.0,109.9,233,100.0,12288.0
