																																																																																																																				
																																																																																																																				
		Pp	D	S	Pp	D	S	Pp	D	S	Pw	R	D	S	Pw	R	Dk	Sk	Ob	D/S						Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									S	Pw	Dk	Sk	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob																	
623	664	0.630872483	1.140939597	0.805369128	0.630872483	1.140939597	0.805369128	0.630872483	1.140939597	0.805369128	0.77942435	1.235470513	0.738255034	0.67114094	0.398630692	0.832653829	0.738255034	0.67114094	0.181935493	1.1						0.67114094	0.67114094	0.158204777	0.469798658	0.33557047	0.031640955	0.805369128	0.536912752	0.14175148	0.872483221	0.67114094	0.229396926															0.738255034	0.402684564	0.076887522	0.738255034	0.402684564	0.076887522	1.006711409	0.469798658	0.147288647	1.275167785	0.536912752	0.24806509															0.872483221	0.714675015	0.872483221	0.571740012	0.805369128	0.537056889	0.14181672	0.67114094	0.318904554	0.045093724																													
1229.5	426.5	0.36689038	0.939597315	0.268456376	0.36689038	0.939597315	0.268456376	0.36689038	0.939597315	0.268456376	0.236746093	0.645277459	1.073825503	0.469798658	0.457028963	0.928599756	1.073825503	0.469798658	0.158916698	2.285714286						1.006711409	0.939597315	0.480626112	0.469798658	0.469798658	0.054264238	0.805369128	0.604026846	0.172996923	0.939597315	0.738255034	0.296713059															1.677852349	0.738255034	0.612568896	0.738255034	0.134228188	0.009808696	0.872483221	0.536912752	0.156939139	1.543624161	0.67114094	0.466704092															0.805369128	0.671321112	0.805369128	0.537056889	0.872483221	0.571740012	0.174980466	0.536912752	0.18103689	0.012261057																													
1263.5	445	0.881431767	1.275167785	0.604026846	0.881431767	1.275167785	0.604026846	0.881431767	1.275167785	0.604026846	0.691793162	0.784851634	1.610738255	0.872483221	1.241678303	1.119012503	1.610738255	0.872483221	0.788729915	1.846153846						0.67114094	0.469798658	0.089148392	0.469798658	0.402684564	0.04271529	0.67114094	0.604026846	0.134553163	1.073825503	0.805369128	0.410066782															0.805369128	0.33557047	0.061304351	0.536912752	0.268456376	0.025312764	1.006711409	0.536912752	0.187314456	1.275167785	0.536912752	0.24806509															0.872483221	0.714675015	0.872483221	0.571740012	1.006711409	1.339128868	0.788791542	0.536912752	0.18103689	0.012261057																													
1193.5	119	0.845637584	1.275167785	0.939597315	0.845637584	1.275167785	0.939597315	0.845637584	1.275167785	0.939597315	1.008332958	1.192393736	0.67114094	0.402684564	0.235394802	1.169127517	0.67114094	0.402684564	0.068344464	1.666666667						1.006711409	0.805369128	0.37589455	0.604026846	0.536912752	0.096188504	0.67114094	0.536912752	0.111376163	0.939597315	0.738255034	0.296713059															1.073825503	0.469798658	0.158916698	0.67114094	0.402684564	0.068344464	1.006711409	0.469798658	0.147288647	1.208053691	0.604026846	0.288328206															1.006711409	1.673911085	1.006711409	1.339128868	0.469798658	0.214278636	0.014358752	0.33557047	0.124769155	0.003592552																													
458.5	522	0.478747204	0.738255034	0.67114094	0.478747204	0.738255034	0.67114094	0.478747204	0.738255034	0.67114094	0.398630692	0.832653829	5.704697987	0.67114094	3.731813882	1.083195328	5.704697987	0.67114094	1.938008516	8.5						1.543624161	1.073825503	1.073261206	0.469798658	0.402684564	0.04271529	0.805369128	0.536912752	0.14175148																		0.939597315	0.604026846	0.211440684	0.805369128	0.33557047	0.061304351	0.872483221	0.536912752	0.156939139	1.409395973	0.738255034	0.497712228															0.469798658	0.267848295	0.469798658	0.214278636	0.67114094	0.39097338	0.064895405	0.536912752	0.18103689	0.012261057																													
9.5	595	0.492170022	1.073825503	0.469798658	0.492170022	1.073825503	0.469798658	0.492170022	1.073825503	0.469798658	0.457028963	0.928599756	0.33557047	0.33557047	0.088396919	0.858987453	0.33557047	0.33557047	0.019775597	1						0.402684564	0.469798658	0.042636187	0.469798658	0.469798658	0.054264238	0.67114094	0.536912752	0.111376163																		1.140939597	0.67114094	0.324319793	0.738255034	0.402684564	0.076887522	0.872483221	0.536912752	0.156939139	1.409395973	0.738255034	0.497712228															0.67114094	0.488716724	0.67114094	0.39097338	0.536912752	0.325174542	0.035569281	0.33557047	0.124769155	0.003592552																													
173	534	1.109619687	1.610738255	0.872483221	1.109619687	1.610738255	0.872483221	1.109619687	1.610738255	0.872483221	1.241678303	1.119012503	1.208053691	0.805369128	0.83347597	1.00151548	1.208053691	0.805369128	0.478411245	1.5						0.738255034	0.738255034	0.210570558	0.469798658	0.33557047	0.031640955	0.738255034	0.67114094	0.181935493																		0.939597315	0.536912752	0.172126797	0.604026846	0.268456376	0.029109679	0.872483221	0.469798658	0.124032545	0.939597315	0.604026846	0.211440684															0.536912752	0.406468177	0.536912752	0.325174542	0.536912752	0.18103689	0.012261057	0.536912752	0.411657133	0.053170195																													
797.5	235.5	0.201342282	0.67114094	0.402684564	0.201342282	0.67114094	0.402684564	0.201342282	0.67114094	0.402684564	0.235394802	1.169127517	1.073825503	0.738255034	0.675577677	1.102128546	1.073825503	0.738255034	0.354141393	1.454545455						0.939597315	0.67114094	0.253127643	0.469798658	0.33557047	0.031640955	0.738255034	0.536912752	0.126563821																		0.805369128	0.469798658	0.112404494	0.805369128	0.33557047	0.061304351	1.073825503	0.469798658	0.158916698	1.140939597	0.604026846	0.269106325															0.536912752	0.226296113	0.536912752	0.18103689	0.604026846	0.488572587	0.082667185	0.604026846	0.229124814	0.021745101																													
832	889	0.984340045	1.744966443	0.805369128	0.984340045	1.744966443	0.805369128	0.984340045	1.744966443	0.805369128	1.265888924	1.286028066	4.362416107	0.738255034	3.103396243	1.116922803	4.362416107	0.738255034	1.761135576	5.909090909						0.67114094	0.536912752	0.111376163	0.469798658	0.469798658	0.054264238	0.67114094	0.536912752	0.111376163																		0.805369128	0.469798658	0.112404494	0.604026846	0.33557047	0.043506314	1.006711409	0.469798658	0.147288647	1.140939597	0.536912752	0.217689773															0.604026846	0.610715734	0.604026846	0.488572587	0.604026846	0.293986757	0.034332272	0.604026846	0.261555786	0.027755929																													
897.5	666.5	0.621923937	1.140939597	0.805369128	0.621923937	1.140939597	0.805369128	0.621923937	1.140939597	0.805369128	0.77942435	1.253247067	0.604026846	0.469798658	0.236318184	1.100356544	0.604026846	0.469798658	0.077520341	1.285714286						0.738255034	0.536912752	0.126563821	0.469798658	0.33557047	0.031640955	0.738255034	0.67114094	0.181935493																		1.409395973	0.872483221	0.668415182	0.67114094	0.402684564	0.068344464	1.140939597	0.469798658	0.170544749	1.140939597	0.536912752	0.217689773															0.604026846	0.367483447	0.604026846	0.293986757	0.604026846	0.456141615	0.073822359	0.536912752	0.238691951	0.020454681																													
