																																																																																																																				
																																																																																																																				
		Pp	D	S	Pp	D	S	Pp	D	S	Pw	R	D	S	Pw	R	Dk	Sk	Ob	D/S						Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob									S	Pw	Dk	Sk	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob	Dk	Sk	Ob																	
1245	652	0.138702461	0.536912752	0.33557047	0.138702461	0.536912752	0.33557047	0.138702461	0.536912752	0.33557047	0.155961443	1.124431695	1.006711409	0.738255034	0.626030359	1.156345333	1.006711409	0.738255034	0.325427226	1.363636364						0.33557047	0.33557047	0.019775597																								1.275167785	0.604026846	0.307550086																								0.469798658	0.173257961	0.469798658	0.138606369	0.402684564	0.123453898	0.004325413																																
289.5	582.5	0.174496644	0.536912752	0.469798658	0.174496644	0.536912752	0.469798658	0.174496644	0.536912752	0.469798658	0.204788073	1.173593185	0.604026846	0.33557047	0.178482951	1.173262929	0.604026846	0.33557047	0.043506314	1.8						1.208053691	0.805369128	0.478411245																								1.073825503	0.469798658	0.158916698																								0.402684564	0.154317373	0.402684564	0.123453898	0.268456376	0.203810639	0.006538528																																
378	577	0.505592841	0.872483221	0.536912752	0.505592841	0.872483221	0.536912752	0.505592841	0.872483221	0.536912752	0.406468177	0.803943695	1.140939597	0.604026846	0.610715734	1.011073826	1.140939597	0.604026846	0.269106325	1.888888889						1.073825503	0.738255034	0.354141393																								1.610738255	0.872483221	0.788729915																								0.268456376	0.254763299	0.268456376	0.203810639	0.939597315	0.604873654	0.211952883																																
1147.5	129.5	0.541387025	1.006711409	0.738255034	0.541387025	1.006711409	0.738255034	0.541387025	1.006711409	0.738255034	0.626030359	1.156345333	0.872483221	0.402684564	0.316472231	1.088177594	0.872483221	0.402684564	0.093973637	2.166666667						0.604026846	0.469798658	0.077520341																								0.67114094	0.402684564	0.068344464																								0.939597315	0.756092068	0.939597315	0.604873654	0.939597315	1.714733571	0.849442018																																
828.5	776	0.15212528	0.604026846	0.33557047	0.15212528	0.604026846	0.33557047	0.15212528	0.604026846	0.33557047	0.178482951	1.173262929	1.140939597	0.604026846	0.610715734	0.903940175	1.140939597	0.604026846	0.269106325	1.888888889						0.805369128	0.536912752	0.14175148																								5.704697987	0.67114094	1.938008516																								0.939597315	2.143416963	0.939597315	1.714733571	0.67114094	0.463042205	0.086981699																																
957.5	486	0.604026846	1.140939597	0.604026846	0.604026846	1.140939597	0.604026846	0.604026846	1.140939597	0.604026846	0.610715734	1.011073826	0.402684564	0.469798658	0.14172785	1.021812081	0.402684564	0.469798658	0.042636187	0.857142857						0.402684564	0.33557047	0.025708276																								4.362416107	0.738255034	1.761135576																								0.67114094	0.578802757	0.67114094	0.463042205																																			
887.5	438	0.29082774	0.872483221	0.402684564	0.29082774	0.872483221	0.402684564	0.29082774	0.872483221	0.402684564	0.316472231	1.088177594	0.939597315	0.604026846	0.48909959	1.02162391	0.939597315	0.604026846	0.211440684	1.555555556						0.33557047	0.402684564	0.025629174																								1.275167785	0.134228188	0.017402525																										0	0																																			
321	334	0.675615213	1.140939597	0.604026846	0.675615213	1.140939597	0.604026846	0.675615213	1.140939597	0.604026846	0.610715734	0.903940175	0.939597315	0.268456376	0.236746093	0.645277459	0.939597315	0.268456376	0.048094252	3.5																																																												0	0																																			
508	259.5	0.138702461	0.402684564	0.469798658	0.138702461	0.402684564	0.469798658	0.138702461	0.402684564	0.469798658	0.14172785	1.021812081	1.275167785	0.604026846	0.691793162	0.784851634	1.275167785	0.604026846	0.307550086	2.111111111																																																												0	0																																			
1249.5	607	0.478747204	0.939597315	0.604026846	0.478747204	0.939597315	0.604026846	0.478747204	0.939597315	0.604026846	0.48909959	1.02162391	1.275167785	0.939597315	1.008332958	1.192393736	1.275167785	0.939597315	0.66667493	1.357142857																																																												0	0																																			
