nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
2,789,812,78.9,81.2,1.15,1.52643375,0.80622577,58.39,3.80659148,3.80169531,1.0,1.5,1.0,0.82462113,232.8,89.5,140.0,176.1,128.2,15,100.0,12288.0
3,236,767,23.6,76.7,0.5,0.86023253,0.58309519,54.46,2.2568433,2.23164971,0.8,0.8,0.8,0.70710678,217.6,95.1,143.5,165.5,130.8,15,100.0,12288.0
4,755,727,75.5,72.7,0.62,0.9486833,0.72801099,161.57,2.60798348,2.55602928,1.0,0.9,1.0,0.8,220.4,93.5,141.4,168.8,129.4,15,100.0,12288.0
5,520,502,52.0,50.2,1.41,1.36014705,1.21655251,107.1,4.05930053,3.97680861,1.3,1.4,1.3,1.3,233.6,104.4,145.2,165.5,134.6,15,100.0,12288.0
6,1214,411,121.4,41.1,0.77,1.2083046,0.63245553,24.44,2.9860186,2.96994245,1.2,0.8,1.2,0.7,233.0,78.6,125.2,167.8,115.2,15,100.0,12288.0
8,575,409,57.5,40.9,0.12,0.36055513,0.14142136,56.31,0.88929222,0.88929222,0.4,0.4,0.4,0.28284271,191.3,83.4,112.8,119.2,104.2,15,100.0,12288.0
9,659,398,65.9,39.8,2.65,2.5,1.33416641,163.74,6.46510249,6.01661618,2.5,1.5,2.4,1.4,235.2,101.9,146.2,168.7,134.8,15,100.0,12288.0
10,1084,323,108.4,32.3,2.3,1.99248588,1.55241747,162.47,6.91394822,5.70009494,2.0,1.7,2.0,1.60312195,229.6,91.3,139.9,170.7,128.1,15,100.0,12288.0
11,1256,217,125.6,21.7,0.19,0.5,0.28284271,36.87,1.15952416,1.15952416,0.5,0.4,0.5,0.3,212.4,64.8,99.7,122.6,91.1,15,100.0,12288.0
12,644,206,64.4,20.6,1.4,1.43178211,1.11803399,114.78,3.91179439,3.87169224,1.2,1.4,1.2,1.1,228.7,102.6,148.6,165.0,136.0,15,100.0,12288.0
13,1183,180,118.3,18.0,1.06,1.81107703,0.8,173.66,4.37329049,4.21875718,1.9,1.0,1.6,0.90553851,224.9,78.9,121.5,149.8,111.2,15,100.0,12288.0
14,939,174,93.9,17.4,1.21,1.72046505,0.86023253,144.46,4.84720588,4.3552483,1.6,1.4,1.3,0.98994949,224.3,95.5,139.7,159.2,128.0,15,100.0,12288.0
15,578,167,57.8,16.7,0.15,0.42426407,0.28284271,135.0,0.96344136,0.96344136,0.4,0.4,0.4,0.3,199.5,110.7,149.2,146.3,136.7,15,100.0,12288.0
16,923,146,92.3,14.6,1.77,1.78885438,1.2083046,153.43,5.10391169,4.62663027,1.7,1.4,1.7,1.25299641,228.6,104.4,151.6,173.5,139.2,15,100.0,12288.0
17,1041,121,104.1,12.1,3.02,3.54682957,1.14017543,158.5,9.03245751,7.79854623,3.4,1.6,2.5,1.23693169,236.3,101.2,154.0,180.5,140.4,15,100.0,12288.0
19,918,73,91.8,7.3,0.18,0.4472136,0.31622777,153.43,1.09748369,1.09748369,0.5,0.4,0.5,0.3,211.4,89.6,134.6,162.1,123.5,15,100.0,12288.0
