nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,182.5,918.5,18.2,91.9,1.07,1.6,1.1,99.61,4.81837652,8.55517944,1.4,1.1,1.6,1.16447418,76.7,59.4,81.5,97.4,76.7,1,18.7,6.8
2,509.5,841.5,51.0,84.2,8.26,11.1,0.9,94.92,26.86345563,44.89613438,11.2,3.0,11.1,3.24200439,101.9,79.0,109.5,122.7,101.9,2,15.4,61.7
3,1084.5,848.5,108.5,84.9,0.29,0.8,0.5,83.68,2.04852812,4.13862761,0.7,0.5,0.8,0.60765078,74.1,56.8,80.8,85.7,74.2,1,8.1,4.8
4,412.5,839.5,41.2,84.0,0.39,0.7,0.7,0.0,2.33137081,4.39822972,0.7,0.7,0.7,0.70467256,97.9,76.3,104.5,121.0,98.0,1,8.0,6.3
5,81.5,826.5,8.2,82.7,1.52,2.0,1.0,52.65,5.66274166,9.68844822,2.0,1.2,2.0,1.39115927,139.3,105.4,150.2,172.8,139.4,1,13.0,13.7
6,112.5,791.5,11.2,79.2,1.76,2.1,0.9,178.27,5.52132031,9.80569999,2.1,1.1,2.1,1.49483625,159.8,121.9,172.9,191.5,159.8,1,13.4,15.1
7,566.5,796.5,56.7,79.7,0.55,0.9,0.6,174.05,2.78994948,4.75963188,0.9,0.7,0.9,0.83301594,135.4,102.3,147.0,162.6,135.4,1,7.6,9.0
8,196.5,792.5,19.7,79.2,0.49,0.9,0.2,83.69,2.61421351,3.81553916,0.8,0.7,0.9,0.78986542,133.1,102.0,144.3,156.5,133.1,1,7.3,8.4
9,20.5,788.5,2.1,78.9,0.57,1.1,0.5,124.75,2.95563487,5.20487381,1.1,0.7,1.1,0.84816292,132.2,101.7,142.0,161.5,132.2,1,7.8,9.0
10,566.5,738.5,56.7,73.9,1.09,1.7,0.6,147.98,4.54558436,7.64512939,1.7,0.9,1.7,1.17806244,130.2,99.1,140.6,158.1,130.2,1,11.2,11.6
11,239.5,735.5,24.0,73.5,0.66,1.1,0.7,40.24,3.07279218,5.72489813,0.9,0.9,1.1,0.91322062,162.5,127.1,175.9,186.5,162.5,1,7.8,10.2
12,410.5,726.5,41.1,72.7,0.61,1.1,0.7,7.95,3.03847758,5.72489813,0.9,0.8,1.1,0.87767302,138.4,105.7,150.2,163.3,138.4,1,8.2,9.0
13,526.5,713.5,52.7,71.4,0.38,0.8,0.4,128.72,2.57989894,3.87537929,0.8,0.6,0.8,0.69557963,87.7,70.3,93.3,104.7,87.7,1,8.5,5.8
14,56.5,707.5,5.7,70.8,0.46,0.9,0.6,92.59,2.55563488,4.75963188,0.8,0.7,0.9,0.76113336,76.8,62.7,81.7,87.9,76.7,1,9.9,5.8
15,577.5,704.5,57.8,70.5,0.33,0.6,0.7,136.43,2.43847759,4.09011421,0.7,0.6,0.6,0.6432751,102.0,81.9,109.4,116.2,102.0,1,6.9,6.3
16,83.5,697.5,8.3,69.8,1.46,2.0,0.9,161.46,5.22842708,9.44137847,1.9,1.2,2.0,1.36342574,122.7,94.1,132.0,149.6,122.6,1,13.8,12.2
17,101.5,650.5,10.2,65.0,0.41,0.8,0.7,93.41,2.38994946,4.71762642,0.7,0.7,0.8,0.7180961,112.2,86.5,121.2,133.8,112.3,1,7.7,6.8
18,307.5,603.5,30.8,60.4,0.41,1.0,0.3,86.56,2.61421353,4.38590974,0.9,0.6,1.0,0.7225152,142.7,110.1,154.0,170.0,142.7,1,6.3,8.4
19,869.5,588.5,87.0,58.9,0.87,1.3,0.7,39.69,3.66274165,6.42537074,1.3,0.8,1.3,1.05248202,162.1,131.2,172.9,187.7,162.2,1,10.0,10.2
20,586.5,561.5,58.7,56.2,1.03,1.5,0.5,128.58,3.92132032,6.68244639,1.4,0.9,1.5,1.14239684,141.5,108.8,152.7,169.9,141.5,1,10.4,11.6
21,418.5,527.5,41.9,52.8,0.51,1.0,0.8,113.17,2.73137082,5.67233358,0.9,0.7,1.0,0.80582391,142.2,109.5,153.8,168.2,142.2,1,7.6,8.4
22,780.5,520.5,78.1,52.1,2.65,3.8,0.9,123.62,9.30538225,16.20805075,3.8,1.0,3.8,1.8368682,136.8,104.7,147.2,167.5,136.8,1,13.3,22.8
23,50.5,513.5,5.1,51.4,1.98,2.8,0.9,8.36,7.50121922,12.40374683,2.8,1.3,2.8,1.5857642,136.3,105.3,146.7,164.2,136.3,1,14.0,16.5
24,184.5,508.5,18.4,50.9,1.08,1.8,0.5,100.85,4.55563489,7.81533904,1.7,0.8,1.8,1.16992842,153.6,116.9,166.7,182.7,153.6,2,12.6,18.1
25,884.5,511.5,88.5,51.2,1.33,1.7,0.9,87.19,4.49705621,8.36264176,1.7,0.9,1.7,1.30131034,153.0,118.8,165.2,179.6,153.0,1,13.3,11.5
26,733.5,491.5,73.4,49.2,0.27,0.7,0.4,175.53,1.98994946,3.52031622,0.7,0.5,0.7,0.58086873,101.2,80.8,108.9,115.5,101.2,1,6.3,5.8
27,794.5,478.5,79.5,47.9,0.42,0.8,0.8,22.1,2.38994946,5.02654825,0.7,0.7,0.8,0.72690743,123.2,93.7,133.5,147.9,123.2,1,7.9,6.8
28,1259.5,445.5,126.0,44.6,0.68,1.2,0.5,42.66,3.2384776,5.56959491,1.2,0.7,1.2,0.92705808,103.2,76.2,112.5,126.1,103.2,1,11.2,7.3
29,166.5,405.5,16.7,40.6,0.7,1.3,0.8,71.87,3.60416299,6.69118043,1.2,0.8,1.3,0.94069202,156.1,122.2,168.8,179.5,156.1,1,8.9,9.6
30,1201.5,377.5,120.2,37.8,0.54,1.0,0.5,106.82,2.73137082,4.84422411,0.9,0.7,1.0,0.82918596,128.1,94.7,140.0,153.9,128.1,1,9.2,7.3
31,1249.5,368.5,125.0,36.9,0.56,1.1,0.7,10.22,3.23847759,5.72489813,1.2,0.7,1.1,0.84062355,128.8,96.0,140.1,156.6,128.8,1,8.4,8.4
32,279.5,335.5,28.0,33.6,1.7,2.3,0.8,95.74,5.94558437,10.31786448,2.3,1.0,2.3,1.47122644,167.0,130.7,180.1,194.7,167.0,1,13.9,14.2
33,430.5,330.5,43.1,33.1,1.33,2.0,0.8,52.05,4.88700571,9.20524498,2.0,0.9,2.0,1.29886196,163.6,124.1,177.4,196.6,163.6,2,10.5,15.2
34,39.5,330.5,4.0,33.1,0.89,1.3,0.6,93.98,3.63847758,6.17335602,1.3,0.9,1.3,1.06151637,150.8,118.8,162.4,175.6,150.9,1,10.3,10.2
35,165.5,301.5,16.6,30.2,1.51,1.9,1.1,57.44,5.79411247,9.59308786,2.0,1.1,1.9,1.38657553,123.4,93.4,132.9,153.1,123.4,1,15.3,11.5
36,1123.5,297.5,112.4,29.8,0.91,1.5,0.8,26.64,3.83847759,7.39397902,1.5,0.8,1.5,1.07344389,152.1,115.0,165.0,182.8,152.1,1,10.6,10.2
