nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
37,15.5,254.5,1.6,25.5,0.62,1.0,0.7,38.3,3.01421353,5.38236898,0.9,0.9,1.0,0.88848664,152.9,119.5,165.2,177.3,152.9,1,8.5,9.0
38,339.5,244.5,34.0,24.5,0.67,1.2,0.2,79.98,3.15563488,4.98000613,1.2,0.7,1.2,0.92016536,130.1,99.3,140.7,156.5,130.2,1,9.1,8.9
39,396.5,229.5,39.7,23.0,0.83,1.3,0.4,50.45,3.57989895,5.72199943,1.3,0.8,1.3,1.02800235,165.3,131.6,177.9,188.5,165.3,1,9.7,10.2
40,1092.5,229.5,109.2,23.0,1.09,1.7,0.9,46.03,5.25269113,8.36264176,1.7,1.0,1.7,1.17535735,71.9,56.4,77.7,83.1,71.9,1,21.1,6.2
41,452.5,181.5,45.2,18.2,0.56,1.0,0.8,61.19,2.83847758,5.67233358,0.8,0.8,1.0,0.84062355,150.2,116.3,162.6,175.6,150.2,1,7.6,8.9
42,1203.5,167.5,120.4,16.8,1.82,2.2,0.9,109.88,5.76984843,10.17203439,2.2,1.1,2.2,1.52017426,146.5,108.9,159.1,180.6,146.5,1,15.3,13.5
43,995.5,163.5,99.6,16.4,1.47,2.2,0.6,59.8,5.74558434,9.53056998,2.2,1.1,2.2,1.36808703,138.6,100.9,150.8,174.8,138.6,1,12.8,13.5
44,133.5,154.5,13.4,15.5,0.8,1.1,0.9,140.57,3.49705623,6.29890311,1.1,1.0,1.1,1.00925301,144.1,110.2,156.4,170.1,144.2,1,8.8,10.9
45,211.5,96.5,21.2,9.7,0.75,1.3,0.6,29.11,3.46274166,6.17335602,1.2,0.8,1.3,0.97720502,133.1,99.1,145.2,160.7,133.2,1,10.0,9.0
46,188.5,87.5,18.9,8.8,0.49,0.9,0.7,59.36,2.72132031,5.04620245,0.8,0.7,0.9,0.78582516,134.2,102.5,145.9,156.6,134.2,1,7.5,7.8
47,31.5,77.5,3.2,7.8,1.11,1.6,0.9,97.2,4.29705625,8.00868922,1.5,0.9,1.6,1.18882122,157.7,127.5,168.9,179.9,157.8,1,11.4,11.5
48,863.5,78.5,86.4,7.9,0.28,0.7,0.6,157.46,2.07279218,4.09011421,0.6,0.6,0.7,0.59172703,127.3,98.2,137.5,151.1,127.3,1,5.9,6.3
49,760.5,71.5,76.0,7.2,0.47,0.9,0.7,44.04,2.67279218,5.04620245,0.9,0.7,0.9,0.76945201,140.9,108.5,153.2,163.2,141.0,1,7.5,7.8
50,867.5,63.5,86.8,6.4,0.65,1.0,0.9,147.71,3.01421353,5.97316043,0.9,0.9,1.0,0.90972837,137.5,104.4,149.3,163.4,137.5,2,12.2,8.4
51,65.5,56.5,6.6,5.7,0.68,1.0,0.9,41.14,3.09705621,5.97316043,1.0,0.8,1.0,0.9304853,157.3,126.6,168.8,177.6,157.2,1,8.5,9.6
52,427.5,39.5,42.8,4.0,1.3,1.8,1.0,159.06,4.66274164,8.97691424,1.8,1.0,1.8,1.2865502,166.9,130.7,180.4,192.4,166.9,1,11.7,13.0
53,1063.5,44.5,106.4,4.5,0.52,1.0,0.5,100.57,2.67279216,4.84422411,0.9,0.7,1.0,0.80976439,108.7,81.9,117.6,133.1,108.7,1,8.8,7.3
54,190.5,35.5,19.1,3.6,1.09,1.5,0.7,99.43,3.95563487,7.14193743,1.4,0.9,1.5,1.17535735,182.2,152.3,193.4,203.0,182.2,1,10.4,12.2
55,460.5,15.5,46.1,1.6,0.58,1.1,0.6,45.46,3.0384776,5.45684568,1.1,0.7,1.1,0.85563587,148.3,116.9,159.6,172.3,148.3,1,8.0,8.9
56,1087.5,14.5,108.8,1.5,0.8,1.2,0.8,114.07,3.49705623,6.34617584,1.2,0.9,1.2,1.00925301,125.5,95.5,135.0,155.7,125.5,1,10.8,8.9
57,559.5,11.5,56.0,1.2,0.34,0.8,0.7,73.59,2.29705622,4.71762642,0.6,0.6,0.8,0.65795246,95.6,75.0,102.8,112.5,95.6,1,7.7,5.8
58,580.5,11.5,58.1,1.2,0.5,0.9,0.2,110.27,2.67279217,3.81553916,0.9,0.7,0.9,0.79388511,140.0,109.9,150.9,162.8,140.0,1,8.7,7.1
