nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,1246.5,900.5,124.7,90.1,0.43,0.8,0.3,30.8,2.47279217,3.63668624,0.8,0.7,0.8,0.73561322,88.9,64.9,96.1,114.6,88.9,1,8.6,6.3
2,912.5,888.5,91.2,88.9,0.69,1.1,0.8,133.24,3.15563488,6.00628745,1.1,0.8,1.1,0.93389993,154.1,121.3,166.0,178.9,154.1,1,8.1,10.2
3,683.5,825.5,68.4,82.6,1.35,1.8,0.8,20.31,5.36984842,8.47311969,1.9,1.1,1.8,1.30862798,134.4,101.7,145.6,163.0,134.5,1,12.9,12.2
4,1202.5,762.5,120.2,76.2,1.85,1.7,0.5,36.74,5.06274166,7.4359495,1.5,1.5,1.7,1.5347616,148.0,114.1,159.1,179.9,148.0,1,16.1,13.0
5,1145.5,698.5,114.6,69.9,0.63,1.0,0.8,44.68,3.01421351,5.67233358,0.9,0.9,1.0,0.8956232,150.4,115.2,163.1,177.5,150.4,1,8.6,9.0
6,1067.5,664.5,106.8,66.5,2.69,3.5,1.1,41.65,9.57401143,15.45279109,3.6,1.3,3.5,1.85067944,147.4,108.6,160.3,182.3,147.4,1,13.5,23.0
7,998.5,670.5,99.9,67.0,0.97,1.5,0.9,123.9,4.09705625,7.65809966,1.5,0.9,1.5,1.1113246,143.4,109.1,155.4,171.9,143.5,1,10.7,10.9
8,52.5,604.5,5.2,60.5,0.42,0.8,0.8,65.11,2.49705623,5.02654825,0.7,0.7,0.8,0.73127328,86.8,69.8,93.2,98.5,86.8,1,9.2,5.8
9,587.5,559.5,58.8,56.0,1.5,2.7,0.7,49.95,6.60832601,11.62740491,2.7,0.8,2.7,1.3819766,125.1,94.6,135.5,151.6,125.1,1,11.7,15.2
10,911.5,564.5,91.2,56.5,0.44,0.9,0.7,45.0,2.44852812,5.04620245,0.7,0.7,0.9,0.74848206,146.4,109.2,159.7,175.4,146.4,1,6.7,8.4
11,944.5,534.5,94.5,53.5,1.29,2.0,0.7,145.76,5.41837655,8.98147895,1.9,0.9,2.0,1.27910626,155.2,117.5,168.6,185.5,155.2,1,10.4,14.4
12,143.5,519.5,14.4,52.0,1.25,1.9,0.9,178.9,5.00416299,9.07926999,1.9,1.0,1.9,1.2590406,126.5,93.9,137.5,155.5,126.5,1,12.2,12.1
13,655.5,520.5,65.5,52.1,0.33,0.7,0.7,39.22,2.21421353,4.39822972,0.6,0.6,0.7,0.64820448,82.9,66.2,89.4,93.4,82.9,1,8.1,5.3
14,107.5,467.5,10.8,46.8,1.09,1.6,0.5,20.03,4.54558437,7.05824197,1.5,1.1,1.6,1.17806244,137.5,102.6,149.0,169.3,137.5,1,11.2,11.5
15,20.5,398.5,2.1,39.9,0.82,1.1,0.9,178.5,3.35563487,6.29890311,1.1,0.9,1.1,1.01867081,174.9,144.5,185.9,197.7,174.9,1,8.4,11.6
16,634.5,394.5,63.5,39.5,1.45,2.5,0.8,63.06,6.13553385,11.0673294,2.5,1.0,2.5,1.35640375,101.9,77.8,110.1,122.9,101.9,1,14.1,12.1
17,887.5,115.5,88.8,11.6,0.75,1.1,1.0,56.74,3.29705623,6.60108509,1.1,0.9,1.1,0.97720502,169.9,137.8,181.2,196.1,169.9,1,8.3,10.9
18,135.5,16.5,13.6,1.7,0.67,1.2,0.5,78.65,3.21421353,5.56959491,1.1,0.7,1.2,0.92361815,156.3,118.9,170.1,183.4,156.3,1,8.6,9.6
