threshold,Krzywe,Pałeczki,Removed_dim,Ziarniaki,removed_ob
144,7.0,12.0,0.0,2.0,3.0
145,8.0,10.0,0.0,3.0,3.0
146,8.0,10.0,0.0,3.0,3.0
147,7.0,10.0,0.0,3.0,4.0
148,7.0,10.0,0.0,3.0,4.0
149,5.0,11.0,0.0,4.0,4.0
150,6.0,10.0,0.0,5.0,3.0
151,8.0,10.0,0.0,3.0,3.0
152,8.0,9.0,0.0,4.0,3.0
153,9.0,8.0,0.0,4.0,2.0
154,7.0,10.0,0.0,4.0,2.0
155,7.0,10.0,0.0,4.0,2.0
156,8.0,9.0,0.0,4.0,2.0
157,8.0,8.0,1.0,4.0,2.0
158,7.0,9.0,1.0,4.0,2.0
159,7.0,9.0,0.0,4.0,3.0
160,8.0,9.0,0.0,3.0,3.0
161,7.0,9.0,0.0,4.0,3.0
162,7.0,9.0,0.0,4.0,3.0
163,7.0,10.0,0.0,3.0,3.0
164,9.0,7.0,0.0,4.0,3.0
165,8.0,9.0,0.0,3.0,3.0
166,8.0,9.0,0.0,2.0,3.0
167,8.0,8.0,0.0,4.0,2.0
168,6.0,7.0,0.0,6.0,3.0
169,6.0,7.0,0.0,5.0,4.0
170,6.0,7.0,0.0,5.0,4.0
171,6.0,8.0,0.0,5.0,3.0
172,6.0,7.0,0.0,6.0,3.0
173,5.0,7.0,0.0,6.0,3.0
174,4.0,8.0,0.0,6.0,3.0
175,4.0,9.0,0.0,4.0,4.0
176,4.0,9.0,0.0,4.0,4.0
177,5.0,8.0,0.0,3.0,5.0
178,5.0,8.0,0.0,3.0,4.0
179,4.0,8.0,0.0,3.0,5.0
180,4.0,8.0,0.0,3.0,5.0
181,4.0,8.0,0.0,3.0,5.0
182,4.0,8.0,0.0,3.0,5.0
183,3.0,8.0,1.0,4.0,4.0
184,3.0,8.0,0.0,4.0,5.0
185,3.0,7.0,0.0,4.0,6.0
186,3.0,7.0,1.0,4.0,5.0
187,4.0,8.0,0.0,3.0,5.0
188,4.0,9.0,0.0,2.0,5.0
189,4.0,9.0,0.0,2.0,4.0
190,5.0,8.0,0.0,2.0,4.0
191,6.0,8.0,0.0,1.0,3.0
192,6.0,8.0,0.0,1.0,3.0
193,5.0,9.0,0.0,1.0,3.0
194,4.0,10.0,0.0,1.0,3.0
195,5.0,10.0,0.0,1.0,2.0
196,4.0,9.0,0.0,3.0,2.0
197,5.0,8.0,0.0,3.0,2.0
198,4.0,8.0,0.0,3.0,3.0
199,4.0,6.0,0.0,4.0,4.0
200,4.0,4.0,0.0,4.0,6.0
201,4.0,5.0,1.0,4.0,3.0
202,2.0,7.0,0.0,4.0,4.0
203,1.0,7.0,0.0,5.0,4.0
204,1.0,7.0,0.0,5.0,4.0
205,0.0,8.0,0.0,6.0,3.0
206,1.0,7.0,0.0,6.0,3.0
207,2.0,7.0,0.0,5.0,3.0
208,3.0,6.0,0.0,5.0,3.0
209,3.0,6.0,0.0,5.0,3.0
210,4.0,6.0,0.0,4.0,3.0
211,3.0,5.0,0.0,4.0,5.0
212,5.0,3.0,0.0,4.0,5.0
213,5.0,2.0,0.0,3.0,7.0
214,4.0,3.0,0.0,4.0,6.0
215,2.0,6.0,0.0,4.0,5.0
216,3.0,4.0,1.0,4.0,5.0
217,3.0,4.0,1.0,4.0,5.0
218,3.0,3.0,1.0,4.0,6.0
219,3.0,3.0,1.0,4.0,5.0
220,3.0,3.0,1.0,4.0,5.0
221,3.0,4.0,0.0,3.0,5.0
222,3.0,4.0,0.0,3.0,5.0
223,3.0,5.0,0.0,2.0,3.0
224,3.0,5.0,0.0,2.0,3.0
225,3.0,5.0,0.0,2.0,3.0
226,3.0,4.0,1.0,2.0,3.0
227,3.0,4.0,1.0,2.0,3.0
228,3.0,5.0,0.0,2.0,3.0
229,3.0,5.0,0.0,2.0,3.0
230,3.0,5.0,0.0,2.0,3.0
231,3.0,4.0,1.0,2.0,3.0
232,3.0,5.0,0.0,1.0,4.0
233,0.0,6.0,2.0,1.0,4.0
234,0.0,6.0,1.0,1.0,5.0
235,1.0,4.0,0.0,2.0,5.0
236,0.0,4.0,0.0,1.0,6.0
237,1.0,3.0,0.0,0.0,6.0
238,1.0,3.0,0.0,0.0,5.0
239,1.0,2.0,0.0,0.0,4.0
240,1.0,2.0,0.0,0.0,1.0
241,2.0,0.0,0.0,0.0,2.0
242,0.0,2.0,0.0,0.0,2.0
243,0.0,2.0,0.0,0.0,1.0
244,0.0,2.0,0.0,0.0,0.0
245,1.0,0.0,0.0,1.0,0.0
246,0.0,0.0,0.0,0.0,2.0
247,0.0,0.0,0.0,0.0,2.0
248,0.0,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0,0.0
