nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
139,746.0,895.5,74.6,89.6,0.79,1.1,0.9,98.43,4.57989895,6.29890311,1.1,0.9,1.1,1.00292534,150.4,110.4,163.4,188.4,150.4,1,8.3,9.3
140,657.0,579.5,65.7,58.0,1.46,1.8,1.15760441,60.43,6.00416301,9.40150124,1.9,1.0,1.8,1.36342574,150.8,111.5,163.2,189.9,150.8,3,13.2,12.5
141,555.5,798.0,55.6,79.8,0.45,0.8,0.7,76.56,2.53137083,4.71762642,0.7,0.7,0.8,0.75693976,147.3,109.5,159.7,182.6,147.3,1,6.3,7.0
142,409.5,941.5,41.0,94.2,0.07,0.35654311,0.24540443,0.0,1.13137083,1.90722479,0.3,0.2,0.4,0.29854107,114.1,88.3,120.9,146.1,114.0,1,1.1,5.3
143,1237.0,695.5,123.7,69.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11283792,113.0,88.0,118.0,156.0,113.4,1,0.2,5.5
144,879.5,790.0,88.0,79.0,0.2,0.53427362,0.40499878,102.05,1.78994948,2.96480209,0.5,0.4,0.5,0.5046265,131.8,96.1,142.1,172.6,131.8,1,2.6,7.6
145,1242.5,411.5,124.2,41.2,1.17,2.1,0.8,162.53,6.80416301,9.57437856,2.1,0.8,2.1,1.22052868,137.1,100.6,147.5,179.8,137.2,3,12.4,12.7
146,200.5,831.0,20.1,83.1,0.05,0.2,0.2,90.0,1.13137083,1.25663706,0.2,0.2,0.2,0.25231325,118.0,93.8,124.6,147.2,118.0,1,1.0,5.1
147,1064.5,897.0,106.5,89.7,0.22,0.51127524,0.5,9.04,1.50710677,3.17711361,0.5,0.4,0.5,0.52925674,132.5,96.7,141.4,180.6,132.5,2,5.4,7.6
148,400.0,232.0,40.0,23.2,0.15,0.69792104,0.4,44.85,1.47279218,3.5130107,0.4,0.4,0.7,0.43701937,115.7,88.7,123.9,144.2,115.7,1,2.1,5.8
149,250.5,189.0,25.1,18.9,1.37,1.9,1.17293406,64.83,5.604163,9.78949553,1.9,1.1,1.9,1.32073395,153.2,113.0,166.4,191.5,153.3,1,11.3,11.8
150,1112.0,104.5,111.2,10.5,0.19,0.51311035,0.41806726,67.5,1.34142135,2.93300474,0.4,0.3,0.5,0.49184908,150.9,110.8,163.2,194.1,151.1,4,5.3,5.5
151,528.5,770.5,52.9,77.1,0.87,1.3,0.9,140.94,4.57989894,6.96874271,1.1,0.9,1.3,1.05248202,160.5,117.8,175.9,193.5,160.5,3,11.6,9.6
152,811.0,436.0,81.1,43.6,1.92,2.1,1.5476553,82.75,8.11126978,11.52523134,2.2,1.4,2.1,1.56352804,142.0,105.1,153.1,182.2,142.0,3,12.1,15.8
