threshold,Krzywe,Pałeczki,Removed_dim,Ziarniaki,removed_ob
204,32.0,20.0,5.0,27.0,48.0
205,28.0,21.0,6.0,27.0,50.0
206,23.0,24.0,6.0,25.0,53.0
207,23.0,25.0,6.0,23.0,50.0
208,23.0,21.0,9.0,24.0,48.0
209,26.0,16.0,6.0,24.0,48.0
210,22.0,16.0,7.0,21.0,52.0
211,22.0,13.0,6.0,22.0,53.0
212,21.0,13.0,6.0,19.0,56.0
213,22.0,11.0,5.0,21.0,54.0
214,26.0,7.0,7.0,19.0,50.0
215,23.0,7.0,7.0,19.0,47.0
216,19.0,9.0,6.0,20.0,48.0
217,12.0,12.0,7.0,20.0,43.0
218,14.0,11.0,7.0,21.0,40.0
219,13.0,11.0,9.0,19.0,39.0
220,13.0,11.0,6.0,19.0,40.0
221,14.0,10.0,4.0,17.0,41.0
222,15.0,8.0,5.0,17.0,40.0
223,14.0,7.0,6.0,16.0,42.0
224,12.0,8.0,9.0,13.0,40.0
225,11.0,6.0,10.0,13.0,39.0
226,16.0,2.0,6.0,13.0,41.0
227,13.0,4.0,8.0,11.0,41.0
228,13.0,4.0,4.0,8.0,45.0
229,9.0,4.0,4.0,8.0,45.0
230,7.0,4.0,4.0,7.0,44.0
231,6.0,1.0,3.0,7.0,39.0
232,3.0,2.0,2.0,7.0,38.0
233,2.0,0.0,2.0,7.0,33.0
234,2.0,2.0,0.0,5.0,22.0
235,0.0,3.0,0.0,5.0,14.0
236,1.0,5.0,0.0,2.0,7.0
237,0.0,2.0,0.0,4.0,6.0
238,0.0,3.0,0.0,2.0,5.0
239,2.0,1.0,0.0,2.0,0.0
240,1.0,0.0,0.0,2.0,2.0
241,0.0,0.0,0.0,1.0,4.0
242,0.0,0.0,0.0,1.0,1.0
243,0.0,0.0,0.0,1.0,1.0
244,0.0,0.0,0.0,1.0,0.0
245,0.0,1.0,0.0,0.0,0.0
246,1.0,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0,1.0
248,0.0,0.0,0.0,0.0,1.0
249,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0,0.0
