nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
34,40.0,463.5,4.0,46.4,0.66,1.0,0.9,41.04,3.07279217,5.97316043,0.9,0.9,1.0,0.91322062,80.8,60.4,87.5,99.7,80.8,1,11.4,7.0
35,361.5,86.0,36.1,8.6,1.63,2.1,0.7,174.47,5.23847756,9.35542495,2.1,0.9,2.1,1.43840685,164.1,117.9,180.8,199.1,164.1,1,13.5,13.9
36,241.0,793.5,24.1,79.4,0.67,1.1,0.9,142.89,3.07279217,6.29890311,0.9,0.9,1.1,0.92016536,154.1,119.2,165.7,185.7,154.1,1,8.7,9.3
37,485.5,695.5,48.6,69.5,1.01,1.7,0.8,68.55,4.37989895,8.11058223,1.7,0.8,1.7,1.13400703,159.4,119.3,173.2,193.2,159.4,1,10.5,11.5
38,300.5,845.5,30.1,84.6,0.37,0.8,0.6,34.34,2.27279216,4.42069843,0.7,0.6,0.8,0.68171287,125.2,89.5,137.3,156.8,125.3,1,7.0,6.8
39,125.0,916.5,12.5,91.7,0.33,0.7,0.5,90.0,2.16568542,3.79613689,0.7,0.5,0.7,0.64820448,113.7,82.6,125.1,137.0,113.7,1,7.4,6.0
40,1186.0,797.5,118.6,79.8,0.23,0.5,0.5,0.0,1.76568542,3.14159265,0.5,0.5,0.5,0.54115164,96.8,68.6,105.3,127.2,96.8,1,5.8,5.5
41,687.0,161.5,68.7,16.2,0.29,0.7,0.5,70.83,2.04852812,3.79613689,0.7,0.5,0.7,0.60765078,72.6,51.3,79.0,96.2,72.7,1,7.7,5.1
42,24.0,9.5,2.4,1.0,0.65,1.3,0.4,91.43,3.27279217,5.72199943,1.3,0.6,1.3,0.90622266,141.1,100.7,154.4,178.5,141.1,1,13.2,6.1
43,110.0,183.5,11.0,18.4,1.09,1.4,1.1,159.86,4.17989894,7.88228151,1.3,1.1,1.4,1.17806244,84.9,63.1,92.5,103.1,84.9,1,15.8,8.1
44,202.5,626.0,20.2,62.6,0.68,1.1,0.8,146.82,3.26274164,6.00628745,1.1,0.8,1.1,0.9304853,141.3,104.4,153.9,173.2,141.3,2,9.3,11.1
45,617.0,536.0,61.7,53.6,1.59,2.0,1.0,141.68,5.91126976,9.68844822,2.0,1.2,2.0,1.42283199,96.6,68.9,105.3,124.2,96.6,1,16.0,11.6
46,110.5,941.5,11.1,94.2,0.33,0.7,0.6,81.53,2.18994948,4.09011421,0.7,0.6,0.7,0.6432751,71.1,53.0,77.2,87.6,71.1,1,8.1,5.3
47,214.5,467.5,21.5,46.8,0.99,1.6,0.9,40.58,5.21837653,8.00868922,1.6,0.8,1.6,1.11988435,102.2,81.0,110.0,117.0,102.1,1,16.5,7.3
48,1234.5,803.0,123.5,80.3,0.32,0.7,0.6,28.28,2.21421354,4.09011421,0.6,0.6,0.7,0.63830765,49.9,34.7,52.9,73.9,49.9,1,9.1,4.6
49,397.0,898.0,39.7,89.8,0.54,0.9,0.7,85.73,2.87279218,5.04620245,0.9,0.7,0.9,0.82533821,53.3,38.2,57.1,73.1,53.3,1,13.8,4.8
50,939.0,225.0,93.9,22.5,0.32,0.8,0.7,2.65,2.3213203,4.71762642,0.7,0.5,0.8,0.63330124,54.0,39.5,55.8,82.6,54.0,1,8.3,4.8
