nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,828.5,318.0,82.9,31.8,0.91,1.1,1.1,141.8,3.72132032,6.91150384,1.1,1.1,1.1,1.07344389,101.5,69.8,109.7,142.6,101.5,1,10.8,9.9
2,611.0,241.5,61.1,24.2,1.18,1.2,0.5,133.72,4.08700572,5.56959491,1.3,1.1,1.2,1.22313387,130.3,91.8,143.0,166.2,130.3,1,12.0,11.2
3,160.5,669.0,16.1,66.9,0.69,1.2,0.5,33.11,3.2384776,5.56959491,1.1,0.8,1.2,0.93389993,122.8,86.0,135.0,156.3,122.8,1,9.5,8.7
4,612.0,543.5,61.2,54.4,1.56,1.8,1.2,3.96,5.25269113,9.51926375,1.6,1.4,1.8,1.40708475,112.0,76.4,121.1,158.5,112.0,1,14.1,12.6
5,436.5,108.0,43.7,10.8,0.86,1.3,0.8,9.62,3.72132031,6.69118043,1.2,0.9,1.3,1.04336945,117.2,82.1,129.0,148.9,117.2,1,11.0,9.3
6,296.5,576.0,29.7,57.6,0.54,1.0,0.7,61.79,2.87279218,5.38236898,1.0,0.7,1.0,0.82533821,85.0,60.2,91.1,119.2,85.1,1,9.5,7.0
7,69.5,588.5,7.0,58.9,0.59,1.1,0.6,95.73,2.95563487,5.45684568,1.1,0.7,1.1,0.86304411,142.4,107.7,155.6,165.9,142.5,1,8.0,9.0
8,198.5,285.0,19.9,28.5,2.46,2.5,1.1,178.66,6.82842706,11.74154356,2.5,1.1,2.5,1.76979357,169.8,131.8,183.8,197.9,169.8,1,15.6,17.8
9,50.5,552.0,5.1,55.2,0.81,1.2,0.5,126.62,3.46274164,5.56959491,1.1,0.8,1.2,1.01554125,133.6,100.2,145.5,159.7,133.6,1,10.3,9.3
10,761.5,458.0,76.2,45.8,0.61,1.1,0.8,36.31,2.95563489,6.00628745,1.1,0.7,1.1,0.87767302,138.2,97.1,152.1,175.2,138.3,1,8.0,9.3
11,525.5,693.0,52.6,69.3,1.3,1.6,0.7,168.92,4.5213203,7.50501473,1.5,1.1,1.6,1.28407368,94.2,73.5,100.6,115.2,94.2,1,16.2,9.3
