nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
12,17.0,37.5,1.7,3.8,0.89,1.0,1.0,136.99,3.57989897,6.28318531,1.1,1.0,1.0,1.06451078,116.8,84.4,126.7,150.5,116.8,1,10.6,9.9
13,930.0,489.5,93.0,49.0,1.24,1.4,0.9,168.64,4.29705623,7.31128766,1.3,1.1,1.4,1.25650986,90.3,63.1,97.6,124.1,90.3,1,14.4,9.9
14,727.5,715.0,72.8,71.5,0.87,1.3,1.0,10.1,3.74558438,7.25642889,1.2,0.9,1.3,1.05248202,127.5,88.9,139.4,167.6,127.5,1,9.8,10.5
15,818.0,777.0,81.8,77.7,1.57,1.5,1.4,154.74,4.66274163,9.11332717,1.5,1.3,1.5,1.41385504,140.9,100.8,154.6,175.8,140.9,1,14.5,12.2
16,681.0,775.5,68.1,77.6,1.33,1.7,1.0,132.39,4.804163,8.62544451,1.7,1.1,1.7,1.29886196,121.8,84.9,132.3,164.6,121.8,1,13.7,11.2
17,352.5,504.0,35.2,50.4,0.94,1.4,0.8,42.05,3.92132031,7.04063244,1.3,0.9,1.4,1.09109073,138.6,98.0,152.0,176.2,138.6,1,10.5,10.6
18,554.0,512.0,55.4,51.2,0.83,1.2,0.7,50.1,3.60416301,6.07282316,1.2,0.8,1.2,1.02490128,152.3,113.1,166.6,182.2,152.4,1,9.6,10.2
19,379.5,671.5,38.0,67.2,0.56,1.0,0.7,88.61,3.01421354,5.38236898,1.0,0.7,1.0,0.84440165,70.5,49.4,75.1,102.3,70.5,1,10.4,6.8
20,250.0,744.0,25.0,74.4,0.65,1.2,0.7,88.98,3.15563488,6.07282316,1.2,0.7,1.2,0.90622266,145.0,105.5,158.9,177.1,145.0,1,8.2,9.6
21,724.0,458.5,72.4,45.9,1.55,2.0,1.1,29.93,5.08700571,9.9452588,1.9,1.1,2.0,1.40255306,156.1,113.1,170.7,193.4,156.1,1,12.6,14.0
22,261.5,620.0,26.2,62.0,0.49,1.0,0.7,29.75,2.75563489,5.38236898,0.9,0.7,1.0,0.78582516,98.0,72.4,105.5,126.9,98.1,1,8.7,7.0
23,700.5,630.0,70.0,63.0,1.33,1.5,1.3,145.83,4.37989895,8.80768299,1.3,1.3,1.5,1.30131034,160.0,119.8,174.5,190.8,160.0,1,12.2,12.6
24,874.5,313.5,87.5,31.4,1.25,1.5,1.2,44.2,4.46274165,8.50850037,1.3,1.3,1.5,1.26156626,95.0,64.2,102.9,135.5,95.1,1,15.1,9.6
25,1049.0,310.5,104.9,31.1,1.45,1.5,1.2,139.93,4.91126977,8.50850037,1.4,1.4,1.5,1.35874845,77.1,52.8,83.0,110.1,77.1,1,15.7,10.6
26,1020.5,67.5,102.1,6.8,1.29,1.5,1.3,135.16,4.76984841,8.80768299,1.5,1.3,1.5,1.27910626,72.1,49.0,77.3,105.3,72.1,1,16.6,9.0
27,1221.5,152.5,122.2,15.2,2.46,2.1,1.3,102.99,6.25269114,10.82977347,2.1,1.5,2.1,1.76799408,98.3,62.6,106.6,149.2,98.3,1,20.0,13.7
28,1260.5,255.0,126.1,25.5,3.04,2.3,1.6,7.05,6.59411249,12.35108989,2.3,1.7,2.3,1.9673963,86.7,57.5,93.4,128.7,86.7,1,22.7,14.7
29,239.5,900.0,24.0,90.0,1.76,2.1,0.8,100.62,5.3213203,9.57437856,2.0,1.1,2.1,1.49483625,172.2,134.1,186.2,200.4,172.2,1,13.7,14.6
30,85.5,213.5,8.6,21.4,2.06,2.2,1.1,160.2,5.88700571,10.65729304,2.2,1.2,2.2,1.61756214,179.6,144.2,192.6,204.9,179.6,1,14.6,15.9
31,374.0,386.5,37.4,38.7,0.5,1.0,0.4,62.39,2.67279217,4.60262249,0.9,0.7,1.0,0.79388511,69.1,50.1,74.3,92.0,69.1,1,9.5,6.5
32,654.5,485.5,65.5,48.6,0.32,0.6,0.7,128.59,2.15563487,4.09011421,0.6,0.6,0.6,0.63330124,75.0,53.4,79.8,107.7,75.1,1,7.1,5.8
33,513.5,428.5,51.4,42.9,2.7,2.5,1.1,81.95,7.07695516,11.74154356,2.6,1.4,2.5,1.85411617,152.5,112.4,166.1,187.5,152.5,1,17.3,17.4
34,332.5,403.0,33.2,40.3,0.44,1.0,0.6,55.8,2.69705623,5.10539977,0.9,0.6,1.0,0.74848206,63.9,48.9,67.6,83.8,63.8,1,9.3,6.0
35,1190.0,333.5,119.0,33.4,14.69,10.5,1.7,2.33,25.1622364,43.5017383,10.5,2.0,10.5,4.32479929,75.2,51.1,81.4,106.7,75.2,1,34.3,46.0
36,134.0,136.5,13.4,13.7,0.43,0.9,0.4,62.39,2.69705625,4.23655985,0.8,0.6,0.9,0.7399277,53.4,40.7,57.4,66.6,53.4,1,10.0,5.5
37,696.5,215.0,69.7,21.5,2.81,2.8,1.5,124.15,8.38406191,13.8193333,2.9,1.6,2.8,1.88982457,134.5,94.1,147.7,173.0,134.5,1,21.2,14.8
38,137.0,882.5,13.7,88.2,0.44,1.0,0.6,75.95,2.83847759,5.10539977,0.8,0.7,1.0,0.74421717,54.8,41.7,58.8,69.6,54.9,1,10.1,5.5
