nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,973.5,882.5,97.4,88.2,0.93,1.6,0.9,18.13,4.25269119,8.00868922,1.4,0.8,1.6,1.08524033,144.9,109.5,158.6,167.4,144.9,1,10.8,10.2
2,145.5,827.5,14.6,82.8,0.54,1.02161045,0.7,28.26,2.81421351,5.4558888,1.0,0.7,1.0,0.82918596,145.3,112.7,157.5,168.5,145.4,1,8.6,7.8
3,1222.5,766.5,122.2,76.7,1.04,1.54634829,0.9,6.63,4.09705623,7.82014895,1.5,0.9,1.5,1.15072548,128.1,93.3,140.6,155.3,128.1,1,12.9,9.6
4,328.5,720.5,32.9,72.0,1.37,2.09356976,0.9,52.31,4.88700571,9.78221067,2.0,0.9,2.1,1.31832165,186.5,155.7,197.4,211.0,186.5,1,11.6,13.7
5,943.5,699.5,94.4,70.0,0.6,1.1457056,0.7,81.35,3.15563489,5.88330034,1.2,0.7,1.1,0.8703893,139.2,111.5,149.6,158.2,139.2,1,8.8,8.4
6,718.5,675.5,71.9,67.5,0.93,1.44528933,0.9,31.95,3.86274165,7.46785913,1.3,0.9,1.4,1.08816946,147.0,113.2,159.5,171.1,147.0,1,10.8,10.2
7,205.5,621.5,20.6,62.2,1.48,2.40271397,0.9,7.64,5.99411246,10.9201185,2.3,1.0,2.4,1.3727325,157.8,123.1,170.1,185.6,157.8,1,13.1,13.3
8,851.5,616.5,85.2,61.7,0.53,1.06965113,0.8,125.56,3.06274165,5.90426672,0.9,0.8,1.1,0.82147243,112.8,91.8,122.3,119.3,112.8,1,9.8,6.8
9,1214.5,588.5,121.5,58.9,0.97,2.00748959,0.7,51.6,5.16984843,9.00942835,2.0,0.8,2.0,1.10845666,104.5,78.6,113.8,124.4,104.5,1,11.6,10.2
10,408.5,549.5,40.9,55.0,0.53,1.0,0.8,165.63,2.73137082,5.67233358,0.9,0.7,1.0,0.82147243,142.7,112.0,154.2,163.8,142.7,1,8.4,7.8
11,849.5,475.5,85.0,47.6,0.72,1.37964725,0.8,95.2,3.4384776,6.96917719,1.4,0.7,1.4,0.95413116,121.8,94.5,131.6,143.0,121.8,1,9.8,8.9
12,822.5,453.5,82.2,45.4,0.23,0.6,0.5,82.17,1.78994948,3.4628956,0.6,0.5,0.6,0.53523723,86.7,70.7,94.2,90.4,86.8,1,5.9,5.3
13,1156.5,432.5,115.7,43.2,1.61,1.97741051,1.1,45.75,5.16984841,9.86546569,1.9,1.1,2.0,1.42952771,181.9,149.7,192.9,209.8,181.9,1,12.7,14.4
14,581.5,406.5,58.2,40.7,0.4,0.9,0.8,85.44,2.69705623,5.3453285,0.8,0.7,0.9,0.71364965,131.7,103.0,142.5,151.7,131.8,1,7.7,6.8
15,815.5,361.5,81.6,36.1,0.83,1.61371403,0.7,44.37,3.86274165,7.55502477,1.6,0.7,1.6,1.02800235,100.0,80.8,107.4,112.4,100.0,1,11.9,8.4
16,69.5,288.5,7.0,28.9,1.65,2.0000618,1.1,129.16,5.85269115,9.94547728,1.9,1.2,2.0,1.44723151,116.0,90.5,123.8,142.9,116.0,1,15.6,12.2
17,78.5,239.5,7.9,24.0,0.77,1.31209555,0.8,67.88,3.52132028,6.73322408,1.2,0.8,1.3,0.9869287,138.6,107.0,150.1,162.3,138.6,1,9.6,9.6
18,181.5,151.5,18.2,15.2,1.62,2.56290607,1.0,87.23,5.43847758,11.73846989,2.1,0.9,2.6,1.43397415,142.8,107.6,154.1,177.0,142.8,1,13.8,13.5
19,418.5,148.5,41.9,14.9,1.2,2.18525085,0.8,57.46,4.94558436,9.89049058,2.0,0.9,2.2,1.23607745,126.0,94.7,135.8,158.1,126.0,1,12.3,11.6
20,181.5,124.5,18.2,12.5,1.47,2.0,1.0,13.76,5.46274165,9.68844822,2.0,1.1,2.0,1.36808703,112.0,83.7,120.6,141.4,112.0,1,15.0,11.5
21,1062.5,111.5,106.2,11.2,0.4,0.82381325,0.8,23.0,2.55563488,5.10163405,0.7,0.7,0.8,0.70917531,77.6,58.3,84.0,95.6,77.6,1,8.9,5.8
22,230.5,106.5,23.1,10.7,0.76,1.29448299,0.8,33.48,3.37989895,6.67202503,1.2,0.8,1.3,0.98369815,124.5,90.7,134.8,159.6,124.4,2,11.4,8.4
23,332.5,31.5,33.2,3.2,0.37,0.8412571,0.6,55.66,2.33137083,4.55961685,0.7,0.7,0.8,0.68636625,86.2,68.8,91.7,104.1,86.2,1,7.7,6.2
24,509.5,24.5,51.0,2.5,1.34,1.7,1.1,66.1,4.37989895,8.89773238,1.5,1.1,1.7,1.30619332,121.8,93.3,130.7,150.8,121.8,1,14.2,10.9
