nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,163.5,933.0,16.4,93.3,8.78,3.7,3.3,9.27,11.78822495,22.0091042,3.5,3.3,3.7,3.34350762,205.1,173.9,217.2,224.7,205.1,1,30.1,30.8
2,328.5,919.5,32.9,92.0,0.45,1.00493898,0.8,9.69,2.61421355,5.68867363,0.9,0.6,1.0,0.75693976,120.0,85.7,129.6,160.9,120.0,1,7.8,7.3
3,1165.5,764.5,116.6,76.5,1.44,2.00777035,0.9,12.08,5.2870057,9.46961096,1.9,1.1,2.0,1.35170217,91.0,63.2,98.6,124.1,90.9,1,15.6,10.7
4,293.5,668.5,29.4,66.9,0.65,1.29737711,0.7,54.64,3.29705623,6.41607031,1.2,0.7,1.3,0.90972837,137.5,97.0,150.8,175.7,137.5,1,8.9,9.0
5,112.5,604.5,11.2,60.5,0.76,1.2,0.9,19.07,3.23847759,6.63104765,1.1,0.8,1.2,0.98045696,136.7,96.1,151.3,167.7,136.7,1,10.0,9.0
6,455.5,585.5,45.6,58.6,2.19,3.17569466,0.9,176.8,7.204163,13.82331805,2.9,1.0,3.2,1.66794137,150.3,105.8,164.9,191.7,150.3,1,15.0,16.8
7,798.5,500.5,79.9,50.1,1.25,1.90006886,0.9,113.56,4.60416298,9.07951851,1.8,0.9,1.9,1.2590406,135.6,95.4,148.4,174.9,135.5,1,12.6,11.5
8,986.5,407.5,98.7,40.8,0.83,1.31687803,0.9,102.77,3.57989895,7.0262346,1.2,0.9,1.3,1.02800235,133.1,95.9,146.2,163.8,133.2,1,10.3,9.6
9,105.5,364.5,10.6,36.5,0.8,1.18349476,1.0,28.62,3.35563488,6.87176759,1.1,0.9,1.2,1.00609415,118.1,81.9,130.0,151.9,118.1,1,11.3,8.4
10,448.5,256.5,44.9,25.7,1.98,2.68045025,1.0,112.53,6.70121922,12.17338896,2.6,1.0,2.7,1.5857642,138.5,98.8,151.2,177.7,138.5,1,15.2,14.9
11,1006.5,237.5,100.7,23.8,0.56,1.2,0.8,21.64,3.01421353,6.34617584,1.1,0.7,1.2,0.84440165,142.0,101.2,156.2,175.9,142.0,1,7.8,9.0
12,978.5,188.5,97.9,18.9,1.61,2.35708218,1.0,51.6,6.14558436,10.98204149,2.3,1.1,2.4,1.43175266,104.9,72.5,114.4,140.9,104.9,1,14.6,13.0
13,788.5,125.5,78.9,12.6,1.71,2.82556152,0.9,83.44,6.62842706,12.49987418,2.7,0.9,2.8,1.47554723,109.5,76.5,119.1,146.8,109.5,1,15.4,13.1
