nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,dlugoscmm,szerokoscmm,kat,obwodmm,obwod_c.mm,srednica_fereta_hmm,srednica_fereta_vmm,sredn._martinamm,sredn._sitowamm,srednia_jaskrawosc,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
1,528.5,914.5,52.9,91.5,1.13,1.6,0.9,104.22,4.26274164,8.00868922,1.5,1.0,1.6,1.19948351,126.0,91.2,136.2,164.0,125.9,1,13.0,10.2
2,1095.5,910.5,109.6,91.1,1.11,2.0,0.3,4.39,4.63847758,8.25217572,2.0,0.7,2.0,1.18614067,101.6,71.1,110.0,138.9,101.7,1,13.2,10.0
3,1252.5,851.5,125.2,85.2,1.08,1.9,0.1,8.64,4.43847756,7.63999195,1.9,0.7,1.9,1.16992842,83.9,57.1,90.9,118.0,83.9,1,14.4,8.9
4,1149.5,811.5,115.0,81.2,0.88,1.3,0.6,90.31,3.69705622,6.17335602,1.3,0.9,1.3,1.05851349,105.7,75.1,114.4,141.4,105.8,1,12.5,8.4
5,1176.5,781.5,117.7,78.2,1.31,2.0,0.9,133.78,5.05269111,9.44137847,1.9,0.8,2.0,1.28902196,131.3,93.9,143.1,168.8,131.3,1,12.4,12.3
6,355.5,771.5,35.6,77.2,1.08,1.5,0.8,40.2,4.3213203,7.39397902,1.6,1.0,1.5,1.16992842,137.2,97.9,149.8,175.9,137.2,1,11.0,11.6
7,640.5,726.5,64.0,72.7,1.6,2.4,0.8,60.07,5.79411249,10.69191422,2.3,0.9,2.4,1.42729929,129.1,93.4,139.7,168.2,129.1,1,14.6,12.7
8,646.5,571.5,64.7,57.2,1.19,1.9,0.9,85.78,5.11126978,9.07926999,1.8,0.9,1.9,1.23091635,127.9,91.5,138.8,166.9,127.9,1,13.4,10.5
9,823.5,542.5,82.4,54.2,0.79,1.5,0.7,9.04,3.75563488,7.14193743,1.5,0.7,1.5,0.99974649,121.2,85.9,132.1,158.2,121.2,1,10.0,9.6
10,974.5,432.5,97.5,43.2,1.1,1.9,0.7,50.2,4.96984842,8.60925894,1.9,0.9,1.9,1.18076132,131.8,93.4,143.9,170.6,131.8,1,10.7,12.3
11,303.5,334.5,30.4,33.5,1.51,1.9,0.8,92.71,4.95563487,8.8380884,1.9,0.9,1.9,1.38427798,163.5,126.0,176.8,193.4,163.5,1,12.9,13.5
12,188.5,327.5,18.9,32.8,0.48,0.9,0.8,102.95,2.9213203,5.3453285,0.8,0.7,0.9,0.77768167,109.0,77.0,118.9,142.2,109.1,1,8.2,7.3
13,276.5,325.5,27.7,32.6,0.86,1.4,0.8,64.84,3.63847758,7.04063244,1.3,0.9,1.4,1.04336945,136.5,97.3,149.5,171.5,136.4,1,10.7,9.6
14,640.5,266.5,64.0,26.7,0.4,0.8,0.7,49.07,2.33137082,4.71762642,0.7,0.7,0.8,0.71364965,129.4,96.9,141.3,153.0,129.4,1,7.0,7.3
15,779.5,123.5,78.0,12.4,0.91,1.3,0.9,143.5,3.72132027,6.96874271,1.2,0.9,1.3,1.07344389,142.0,105.7,154.6,172.0,142.0,1,11.9,9.0
