nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
47,189,87,18.9,8.7,0.66,0.98488578,0.72801099,23.96,2.5991191,2.58130454,1.0,0.8,1.0,0.7,226.8,98.4,144.5,159.9,131.7,64,100.0,12288.0
48,32,77,3.2,7.7,1.53,1.72626765,1.00498756,169.99,4.62747623,4.43708782,1.8,1.2,1.6,1.1,232.1,119.8,161.0,176.7,149.7,64,100.0,12288.0
49,864,78,86.4,7.8,0.31,0.64031242,0.42426407,51.34,1.62109048,1.60979425,0.7,0.6,0.7,0.5,216.5,105.7,152.6,168.4,139.7,64,100.0,12288.0
50,761,71,76.1,7.1,0.59,0.98488578,0.63245553,23.96,2.58045009,2.51515436,1.0,0.8,0.9,0.72111026,222.6,108.6,157.2,172.2,143.6,64,100.0,12288.0
51,868,63,86.8,6.3,0.67,1.00498756,0.7,174.29,2.73414311,2.67622641,1.1,0.8,1.0,0.8,224.6,114.5,165.6,182.3,151.4,64,100.0,12288.0
52,66,56,6.6,5.6,1.08,1.25299641,0.98488578,28.61,3.43958597,3.4208904,1.2,1.0,1.2,0.9,233.5,112.1,154.5,170.8,143.0,64,100.0,12288.0
53,428,39,42.8,3.9,2.09,2.0,1.28062485,126.87,5.28194518,5.12186993,1.6,1.8,1.3,1.3,234.4,113.9,160.6,179.4,148.1,64,100.0,12288.0
54,1064,44,106.4,4.4,0.42,0.80622577,0.53851648,150.26,2.08483206,2.0670175,0.8,0.6,0.8,0.5,221.0,101.5,146.3,163.8,134.2,64,100.0,12288.0
55,191,35,19.1,3.5,1.87,1.74642492,1.31529464,166.76,5.49911844,4.86510899,1.8,1.5,1.7,1.4,224.1,119.2,159.4,177.9,148.8,64,100.0,12288.0
56,461,15,46.1,1.5,0.82,1.26491106,0.72801099,18.43,3.35351455,3.18171176,1.3,0.9,1.2,0.85440037,226.9,110.5,154.4,171.3,142.5,64,100.0,12288.0
57,1088,14,108.8,1.4,0.85,1.26491106,0.72801099,161.57,3.28996549,3.17860511,1.3,1.0,1.1,0.78102497,225.5,103.3,149.0,171.2,137.1,64,100.0,12288.0
58,560,10,56.0,1.0,0.24,0.53851648,0.4,68.2,1.39508446,1.39508446,0.5,0.6,0.5,0.4,200.7,90.5,127.0,142.0,117.0,64,100.0,12288.0
59,581,9,58.1,0.9,0.64,1.04403065,0.60827625,163.3,2.69795817,2.65785602,1.1,0.8,1.0,0.7,219.7,109.3,153.5,168.3,141.3,64,100.0,12288.0
